Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
ERR3684461	233	187	81	27	1	0	1125352	1098376	815928	424122	49925	0	214	49925	1119836	1139457	52.74	52.70	8616	8604	4714	4400	42	43	86	90	1	1	1067	5	0	0	1	2 + 12 part	19747	98.511	1.004	0.00	26.73	11.68	49925	1099067	8392	8381	4380	4304	43	44	89	92
ERR3684462	433	300	68	8	0	0	1111197	1030896	484291	95660	0	0	387	15347	1095538	1139457	52.68	52.70	4380	4211	2376	2230	82	87	169	183	0	0	0	2	0	0	5	2 + 11 part	17189	96.472	1.005	0.00	29.25	10.53	15347	1077014	4369	4184	2233	1993	83	88	172	187
ERR3684463	564	355	37	3	0	0	1089938	957026	263066	39644	0	0	508	16407	1069531	1139457	52.68	52.70	2823	2685	1590	1415	111	124	237	271	2	2	17502	2	0	0	3	1 + 15 part	19393	93.954	1.004	0.00	31.09	10.90	13000	1049156	2731	2585	1552	1352	115	128	245	282
ERR3684464	353	269	69	17	0	0	1118039	1063015	569780	216485	0	0	328	17307	1109221	1139457	52.72	52.70	5216	5005	2731	2631	66	69	139	147	1	1	11711	7	0	0	0	3 + 14 part	20705	97.470	1.004	0.00	31.26	11.16	16584	1088236	5005	4725	2691	2487	68	72	143	152
ERR3684465	305	237	78	16	1	0	1118768	1079739	682817	251405	34856	0	280	34856	1110760	1139457	52.71	52.70	6007	5906	3424	3099	55	58	116	122	5	3	21946	3	0	0	0	6 + 11 part	18427	97.761	1.004	0.00	35.67	10.39	33518	1090680	5906	5813	3238	2992	57	59	119	126
ERR3684466	43	32	26	21	13	8	1133932	1130016	1115533	1078261	951392	787491	35	150536	1132126	1139457	52.75	52.70	91217	91217	34188	34188	5	5	10	10	2	1	2035	12	0	0	0	1 + 7 part	19070	99.826	1.002	0.00	30.34	11.34	150536	1111938	87832	87832	30236	30236	5	5	11	11
ERR3684467	151	115	68	35	9	2	1127559	1112301	991221	756542	367660	133120	127	69571	1122076	1139457	52.75	52.70	15555	15555	8222	7918	20	20	45	46	0	0	0	8	0	0	0	1 + 13 part	19452	98.866	1.002	0.00	24.54	10.82	65765	1101988	15555	15127	7541	7481	20	21	47	48
ERR3684468	584	364	34	1	0	0	1084937	943261	230196	10461	0	0	527	10461	1062508	1139457	52.67	52.70	2676	2463	1551	1338	118	133	248	289	3	2	13239	3	0	0	1	2 + 9 part	16110	93.545	1.005	0.00	34.87	10.76	10461	1044635	2590	2416	1483	1285	123	138	257	300
ERR3684469	74	54	39	31	15	6	1129606	1120290	1075539	1018960	766797	449390	62	122089	1126951	1139457	52.74	52.70	43074	43074	18962	18352	9	9	19	20	0	0	0	10	0	0	0	1 + 13 part	19737	99.321	1.002	0.00	23.71	10.77	118283	1106649	43074	43074	18279	18279	9	9	20	20
ERR3684470	121	93	59	35	11	4	1128838	1116309	1021082	853641	465696	233006	104	67531	1124918	1139457	52.74	52.70	20402	20402	10063	9721	16	16	35	36	0	0	0	11	0	0	0	1 + 12 part	19627	99.110	1.002	0.00	24.75	11.24	67531	1104709	20402	20402	9273	9068	16	16	36	37
ERR3684471	85	63	48	30	12	3	1129445	1121539	1076020	939609	618851	296583	69	133710	1126372	1139457	52.74	52.70	29635	29635	16197	16197	11	11	24	24	1	1	982	7	0	0	0	1 + 12 part	19317	99.271	1.002	0.00	28.52	10.50	129904	1106478	28789	28789	15576	14394	11	11	24	25
ERR3684472	56	37	31	29	14	4	1129889	1120850	1100408	1087639	861910	491139	45	227741	1127243	1139457	52.75	52.70	42183	42183	28691	28691	6	6	14	14	0	0	0	10	0	0	0	1 + 11 part	20405	99.335	1.001	0.00	21.80	11.40	222127	1106238	42183	42183	28691	22229	6	6	14	15
ERR3684473	27	7	7	7	6	5	1129719	1120876	1120876	1120876	1104194	1060793	14	299465	1126682	1139457	52.75	52.70	299149	299149	126653	126653	2	2	4	4	1	1	126653	11	0	0	0	1 + 7 part	19546	99.362	1.001	0.00	25.32	10.85	294636	1105842	292607	292607	125882	125882	2	2	4	4
ERR3684474	31	14	13	12	8	5	1134619	1126313	1124836	1119742	1046880	934089	21	422326	1132091	1139457	52.75	52.70	175111	175111	96320	96320	2	2	4	4	0	0	0	11	0	0	0	1 + 8 part	19687	99.841	1.001	0.00	23.13	11.97	411645	1111793	174986	174986	96238	67364	2	2	4	5
ERR3684475	113	79	58	38	12	3	1129851	1115108	1057556	912738	484746	184906	91	71353	1125193	1139457	52.75	52.70	21953	21953	12347	11887	16	16	32	33	0	0	0	12	0	0	0	1 + 13 part	19361	99.214	1.002	0.00	25.63	11.32	71353	1105599	21953	20011	11887	11126	16	17	33	34
ERR3684476	68	50	39	32	13	5	1129981	1121506	1088731	1039755	727751	442156	57	170499	1127312	1139457	52.75	52.70	44527	44527	17851	17845	8	8	19	20	0	0	0	12	0	0	0	1 + 11 part	19757	99.358	1.002	0.00	23.16	11.85	164885	1106919	44524	44524	17806	17806	8	8	20	20
ERR3684477	24	7	7	7	5	4	1134456	1126153	1126153	1126153	1091061	1054921	14	598735	1131959	1139457	52.75	52.70	598735	598735	172966	172966	1	1	3	3	0	0	0	11	0	0	0	1 + 8 part	19827	99.836	1.001	0.00	23.31	12.15	588007	1111674	588007	588007	169581	169581	1	1	3	3
ERR3684478	103	78	50	38	15	3	1129304	1118582	1053877	971002	609273	200247	86	94580	1124988	1139457	52.75	52.70	27446	27446	15387	15266	14	14	28	29	1	1	1671	10	0	0	0	1 + 10 part	19812	99.148	1.002	0.00	23.29	10.88	88968	1104658	27446	27446	14360	13994	14	14	29	30
ERR3684479	52	34	28	23	15	6	1129220	1122199	1104717	1072801	944294	623676	39	140859	1126333	1139457	52.74	52.70	60918	60918	34086	34086	6	6	12	12	1	1	16739	9	0	0	1	1 + 10 part	19931	99.351	1.001	0.00	22.34	11.22	140859	1106322	60918	60918	34086	29183	6	6	12	13
ERR3684480	24	7	6	6	5	4	1134538	1126169	1123163	1123163	1106422	1070370	14	598746	1132129	1139457	52.75	52.70	598746	598746	172170	172170	1	1	3	3	0	0	0	11	0	0	0	1 + 7 part	19016	99.838	1.002	0.00	4.41	10.80	588012	1111846	588012	588012	169400	169400	1	1	3	3
ERR3684481	740	386	17	1	0	0	1063496	846346	115423	12194	0	0	617	12194	1013861	1139457	52.63	52.70	2023	1778	1213	978	146	179	308	395	3	3	4475	1	0	0	0	10 + 11 part	22627	88.609	1.005	0.00	33.67	10.35	12194	989719	2017	1732	1154	922	148	182	316	407
ERR3684482	40	23	20	19	13	8	1129460	1121083	1108545	1103319	996611	806692	30	149744	1127042	1139457	52.75	52.70	109091	109091	44592	42284	5	5	9	10	0	0	0	11	0	0	0	1 + 10 part	18915	99.370	1.002	0.00	3.53	10.13	144267	1106700	109036	109036	42284	42284	5	5	10	10
ERR3684483	61	37	31	24	15	6	1130436	1120957	1105613	1057733	921025	553702	44	141661	1126773	1139457	52.74	52.70	45870	45870	36331	35519	7	7	13	14	1	1	22599	8	0	0	0	2 + 10 part	20203	99.313	1.001	0.00	21.45	10.95	141661	1105815	45870	45870	34835	34835	7	7	14	14
ERR3684484	282	222	83	20	1	0	1121929	1084890	710067	271276	26654	0	262	26654	1115321	1139457	52.77	52.70	6380	6206	3979	3839	56	58	112	117	0	0	0	5	0	0	2	1 + 14 part	19189	98.143	1.004	0.00	25.46	10.81	26654	1094354	6102	6070	3839	3485	57	59	114	119
ERR3684485	30	13	12	11	9	7	1129183	1120826	1116347	1106661	1078390	985200	20	303911	1126795	1139457	52.75	52.70	143636	143636	85423	85423	3	3	6	6	1	1	126525	12	0	0	0	1 + 8 part	18947	99.366	1.002	0.00	3.35	10.49	298833	1106608	141723	141723	82050	82050	3	3	6	6
ERR3684486	236	191	73	29	3	0	1123359	1096872	780408	468842	88601	0	222	30058	1119793	1139457	52.75	52.70	8626	8235	4543	4425	39	40	86	89	3	2	9129	4	0	0	1	3 + 13 part	18487	98.570	1.004	0.00	27.26	11.49	30058	1099933	8136	8133	4325	4224	40	41	89	92
ERR3684487	166	135	77	30	5	1	1124849	1106840	933263	588082	237452	119510	154	119510	1121861	1139457	52.73	52.70	11629	10841	6720	6434	28	29	61	63	1	1	9768	7	0	0	0	3 + 12 part	20406	98.807	1.002	0.00	28.56	10.46	114992	1101135	10841	10841	6019	5586	29	29	63	65
ERR3684488	639	376	22	0	0	0	1068633	894886	146482	0	0	0	577	9663	1043496	1139457	52.60	52.70	2454	2157	1395	1150	136	157	282	339	1	1	7098	4	0	0	1	2 + 12 part	18765	91.641	1.005	0.00	33.73	10.49	9663	1023301	2337	2043	1340	1055	140	162	292	353
ERR3684489	26	6	5	5	4	4	1135228	1126991	1125985	1125985	1109229	1109229	13	598795	1132790	1139457	52.75	52.70	598795	598795	175116	175116	1	1	3	3	0	0	0	11	0	0	0	2 + 6 part	19841	99.845	1.002	0.00	6.21	10.71	587894	1111610	587894	587894	175001	175001	1	1	3	3
ERR3684490	66	43	36	29	12	8	1129733	1119268	1095709	1047343	767880	614817	52	117228	1126650	1139457	52.75	52.70	53207	53207	20690	20690	8	8	16	16	1	1	87725	10	0	0	0	1 + 11 part	19501	99.300	1.002	0.00	23.44	11.40	113422	1105827	48864	44697	19942	19942	8	9	18	18
ERR3684491	79	59	41	27	15	6	1134723	1124292	1070633	955847	761781	468137	69	145538	1132164	1139457	52.75	52.70	35324	35324	18714	18714	9	9	20	20	0	0	0	10	0	0	0	1 + 14 part	19660	99.814	1.002	0.00	25.84	12.43	141732	1111938	35324	35324	17218	16916	9	9	20	21
ERR3684492	109	82	54	31	11	4	1129549	1117659	1038786	870656	548813	294053	93	114919	1126288	1139457	52.75	52.70	24802	24802	12246	12178	12	12	29	30	0	0	0	8	0	0	0	1 + 11 part	18632	99.250	1.003	0.00	23.72	11.59	111113	1106275	24630	24535	12178	11139	12	13	30	31
ERR3684493	126	103	60	40	6	2	1129508	1117213	989488	838282	278014	155582	116	95029	1127320	1139457	52.75	52.70	18110	18110	9869	9860	20	20	41	42	1	1	1067	9	0	0	0	3 + 11 part	19968	99.224	1.003	0.00	25.00	11.32	95029	1106139	17602	17602	9772	9528	20	20	42	43
ERR3684494	264	208	84	23	2	0	1124121	1092010	780341	350722	57444	0	240	32093	1117200	1139457	52.72	52.70	7179	7116	4294	4051	48	50	97	101	1	1	982	5	0	0	2	2 + 12 part	18349	98.382	1.004	0.00	31.06	11.24	28287	1097673	7116	7032	4050	3959	49	51	99	103
ERR3684495	93	14	14	13	10	8	1136210	1120917	1120917	1115691	1063470	975505	21	191985	1126818	1139457	52.74	52.70	126541	126541	76978	76978	4	4	7	7	0	0	0	10	0	0	0	1 + 8 part	18707	99.381	1.002	0.00	2.98	10.04	190203	1106824	125860	125860	76925	76925	4	4	7	7
ERR3684496	488	340	44	4	0	0	1102185	1007050	306320	45189	0	0	447	12226	1085645	1139457	52.71	52.70	3384	3250	2109	1753	103	111	206	227	1	1	835	2	0	0	0	7 + 9 part	18508	95.409	1.005	0.00	33.53	11.87	12226	1065807	3363	3220	1959	1685	105	113	210	232
ERR3684497	21	5	5	5	4	4	1134208	1126057	1126057	1126057	1109316	1109316	12	598778	1132016	1139457	52.75	52.70	598778	598778	175098	175098	1	1	3	3	0	0	0	12	0	0	0	1 + 6 part	19410	99.836	1.002	0.00	9.27	11.07	587682	1111371	587682	587682	175016	175016	1	1	3	3
ERR3684498	50	36	34	30	15	8	1128377	1119840	1113354	1086246	840019	587968	45	127708	1127242	1139457	52.75	52.70	53164	53164	23922	23922	8	8	16	16	0	0	0	10	0	0	0	1 + 10 part	18224	99.363	1.003	0.00	4.25	10.76	126511	1107048	49971	49971	23868	22955	8	8	16	17
ERR3684499	24	7	7	7	6	5	1134683	1126189	1126189	1126189	1109456	1073431	14	448916	1132148	1139457	52.75	52.70	175128	175128	149780	149780	2	2	4	4	0	0	0	10	0	0	0	1 + 8 part	18956	99.838	1.002	0.00	6.39	11.07	443729	1111789	175031	175031	144266	144266	2	2	4	4
ERR3684500	27	9	9	9	8	7	1134487	1126120	1126120	1126120	1109378	1083473	16	388135	1132080	1139457	52.75	52.70	183038	183038	149979	149979	2	2	4	4	0	0	0	12	0	0	0	1 + 9 part	19767	99.833	1.001	0.00	4.50	10.80	382977	1111830	175015	175015	144365	144365	3	3	4	4
ERR3684501	27	9	8	8	8	7	1134509	1126003	1121527	1121527	1121527	1090952	16	196766	1131990	1139457	52.75	52.70	161944	161944	149910	149910	4	4	5	5	1	1	161944	9	0	0	0	1 + 9 part	19679	99.807	1.002	0.00	4.95	10.81	192423	1111127	148248	148248	125870	125870	4	4	6	6
ERR3684502	29	7	7	7	5	5	1134931	1125943	1125943	1125943	1085356	1085356	14	450093	1131902	1139457	52.75	52.70	208729	208729	148680	148680	2	2	4	4	0	0	0	10	0	0	0	1 + 7 part	19048	99.843	1.002	0.00	4.50	11.07	443594	1111591	204735	204735	144263	144263	2	2	4	4
ERR3684503	941	350	1	0	0	0	941813	571981	5226	0	0	0	765	5226	865692	1139457	52.69	52.70	1256	1005	838	520	227	348	435	744	2	2	3706	2	0	0	0	7 + 6 part	12141	76.366	1.004	0.00	35.42	10.00	5226	852689	1238	986	815	-	230	354	443	-
ERR3684504	50	32	29	26	12	6	1135095	1127199	1123914	1096127	876860	669678	39	175161	1132999	1139457	52.75	52.70	86961	86961	29462	26803	5	5	11	12	0	0	0	8	0	0	0	3 + 11 part	20368	99.810	1.002	0.00	5.49	10.98	175012	1111716	82618	82618	26803	26803	5	5	12	12
ERR3684505	703	392	17	1	0	0	1069073	868322	109326	12787	0	0	617	12787	1035132	1139457	52.73	52.70	2136	1923	1290	1033	154	180	311	379	1	1	12787	4	0	0	0	5 + 13 part	15928	91.068	1.006	0.00	45.39	11.45	11338	1017061	2089	1883	1241	992	156	183	318	389
ERR3684506	820	407	9	0	0	0	1034676	775444	55495	0	0	0	700	8669	984237	1139457	52.62	52.70	1646	1481	1092	808	190	239	372	497	2	2	12027	2	0	0	0	6 + 11 part	15672	86.520	1.006	0.00	34.80	10.80	7364	966474	1621	1432	1060	770	193	243	379	509
ERR3684507	23	5	5	5	4	4	1134529	1126026	1126026	1126026	1109295	1109295	12	598753	1132014	1139457	52.75	52.70	598753	598753	175111	175111	1	1	3	3	0	0	0	11	0	0	0	1 + 6 part	19038	99.844	1.002	0.00	4.32	10.80	588025	1111805	588025	588025	175014	175014	1	1	3	3
ERR3684508	874	364	9	0	0	0	1012223	690074	54795	0	0	0	720	8977	947552	1139457	52.64	52.70	1557	1245	958	682	186	256	385	563	3	2	2510	0	0	0	2	4 + 10 part	15933	83.226	1.006	0.00	35.74	12.20	8257	929752	1496	1213	913	646	191	263	397	583
ERR3684509	27	9	9	9	7	6	1129481	1120997	1120997	1120997	1080429	1037028	16	294830	1126984	1139457	52.75	52.70	154022	154022	126595	126595	3	3	5	5	1	1	102830	10	0	0	0	1 + 7 part	19112	99.379	1.002	0.00	3.17	10.49	289755	1106688	153977	153977	125869	125869	3	3	5	5
ERR3684510	26	10	8	8	7	7	1135700	1127844	1118999	1118999	1102268	1102268	17	379352	1133526	1139457	52.75	52.70	146010	146010	108183	108183	3	3	5	5	2	1	96196	12	0	0	0	3 + 7 part	21294	99.818	1.001	0.00	7.65	11.34	368664	1111952	145928	145928	108111	108111	3	3	5	5
ERR3684511	19	5	4	4	3	3	1134499	1127109	1126103	1126103	1109348	1109348	12	598785	1132909	1139457	52.75	52.70	598785	598785	335375	335375	1	1	2	2	0	0	0	12	0	0	0	2 + 6 part	20608	99.845	1.001	0.00	4.41	10.71	587904	1111661	587904	587904	330620	330620	1	1	2	2
ERR3684512	28	6	5	5	4	4	1138854	1127325	1126054	1126054	1109311	1109311	16	598792	1136029	1139457	52.74	52.70	598792	598792	175109	175109	1	1	3	3	0	0	0	11	0	0	0	5 + 6 part	23057	99.843	1.002	0.00	5.85	10.80	588033	1111723	588033	588033	175012	175012	1	1	3	3
ERR3684513	951	114	0	0	0	0	631927	151105	0	0	0	0	612	4575	487012	1139457	52.50	52.70	785	-	616	-	219	-	394	-	1	1	2541	0	0	0	0	7 + 5 part	10051	42.664	1.005	0.00	49.92	9.69	4575	476054	774	-	607	-	224	-	402	-
ERR3684514	779	65	0	0	0	0	490066	83811	0	0	0	0	484	4927	363008	1139457	52.65	52.70	747	-	595	-	180	-	318	-	1	1	2895	1	0	0	1	6 + 7 part	9989	31.621	1.003	0.00	54.85	12.22	4927	352380	722	-	587	-	184	-	326	-
ERR3684515	26	5	5	5	4	4	1134986	1126082	1126082	1126082	1109339	1109339	12	598735	1132036	1139457	52.75	52.70	598735	598735	175156	175156	1	1	3	3	0	0	0	11	0	0	0	1 + 6 part	19050	99.844	1.002	0.00	4.77	10.98	588022	1111752	588022	588022	175032	175032	1	1	3	3
ERR3684516	462	322	57	8	0	0	1108206	1022620	422771	95047	0	0	409	16757	1088862	1139457	52.73	52.70	3785	3625	2080	1842	86	93	183	203	3	3	19755	4	0	0	0	2 + 15 part	17788	95.870	1.004	0.00	30.75	11.06	16757	1069944	3730	3572	2025	1787	88	95	189	209
ERR3684517	25	6	6	6	5	5	1134748	1126113	1126113	1126113	1109382	1109382	13	448859	1132072	1139457	52.75	52.70	208748	208748	149932	149932	2	2	4	4	0	0	0	10	0	0	0	1 + 7 part	19098	99.839	1.002	0.00	4.68	10.89	443585	1111542	204733	204733	144261	144261	2	2	4	4
ERR3684518	946	145	1	0	0	0	670703	199995	7711	0	0	0	629	7711	533364	1139457	52.58	52.70	848	-	650	-	218	-	396	-	2	2	11097	3	0	0	0	4 + 6 part	8249	46.918	1.006	0.00	44.82	10.92	7074	523098	844	-	636	-	223	-	404	-
ERR3684519	22	6	5	5	4	4	1134736	1127056	1126050	1126050	1109284	1109284	13	598763	1132881	1139457	52.75	52.70	598763	598763	175092	175092	1	1	3	3	0	0	0	11	0	0	0	2 + 6 part	19903	99.843	1.002	0.00	4.59	10.89	587891	1111602	587891	587891	175000	175000	1	1	3	3
ERR3684520	66	38	30	21	13	9	1131466	1123186	1100804	1031148	899593	746562	44	123255	1128037	1139457	52.74	52.70	70339	63142	35492	35492	6	7	12	12	2	2	124322	11	0	0	0	2 + 9 part	19619	99.341	1.003	0.00	5.79	10.49	113885	1107151	63142	63142	34874	34874	7	7	13	13
ERR3684521	18	7	7	7	5	4	1134110	1127925	1127925	1127925	1086497	1050389	13	598742	1132839	1139457	52.75	52.70	598742	598742	172820	172820	1	1	3	3	0	0	0	11	0	0	0	2 + 6 part	19906	99.840	1.002	0.00	5.04	11.16	587903	1111564	587903	587903	169423	169423	1	1	3	3
ERR3684522	31	15	14	13	9	5	1129702	1122016	1121010	1113379	1045226	868800	22	487269	1127815	1139457	52.75	52.70	111465	111465	60896	60896	2	2	5	5	1	1	102866	11	0	0	0	2 + 8 part	19911	99.372	1.002	0.00	4.34	10.49	476575	1106605	111381	111381	47226	47226	2	2	6	6
ERR3684523	46	24	21	18	12	6	1130038	1122125	1116122	1093331	973026	759992	30	446075	1127219	1139457	52.74	52.70	64207	64207	43805	36480	3	3	8	9	1	1	1067	9	0	0	0	2 + 9 part	20438	99.268	1.002	0.00	5.25	10.50	435383	1106138	64122	64122	36480	36480	3	3	9	9
ERR3684524	22	8	6	6	5	5	1134809	1128294	1126221	1126221	1109454	1109454	14	450174	1133389	1139457	52.75	52.70	208780	208780	148655	148655	2	2	4	4	1	1	1067	10	0	0	0	2 + 7 part	19933	99.845	1.002	0.00	6.57	11.25	443747	1112189	204747	204747	144276	144276	2	2	4	4
ERR3684525	77	52	35	28	15	7	1130886	1120009	1074222	1025530	836918	559248	61	111804	1127338	1139457	52.74	52.70	39635	39635	24902	24902	8	8	16	16	0	0	0	10	0	0	0	2 + 12 part	20442	99.273	1.002	0.00	4.98	10.50	111804	1106252	39635	39635	23470	22121	8	8	16	17
ERR3684526	41	21	20	17	13	8	1130929	1122488	1121482	1104205	1046292	857246	28	207379	1128285	1139457	52.75	52.70	112646	112646	51423	51423	4	4	8	8	0	0	0	10	0	0	0	2 + 10 part	19774	99.390	1.002	0.00	4.07	10.85	201765	1107075	111921	111921	49342	44532	4	4	8	9
ERR3684527	611	374	27	1	0	0	1081891	926597	171725	11130	0	0	549	11130	1057574	1139457	52.79	52.70	2486	2368	1541	1246	133	150	267	311	1	1	1067	4	0	0	4	6 + 11 part	17283	92.742	1.008	0.00	37.69	10.76	11130	1036357	2442	2313	1500	1209	134	152	273	319
ERR3684528	33	15	10	10	7	6	1129962	1122606	1110781	1110781	1074679	1031254	21	295616	1127711	1139457	52.74	52.70	149938	149938	126602	126602	3	3	5	5	2	2	103914	9	0	0	1	2 + 8 part	20492	99.306	1.002	0.00	4.16	10.32	291272	1106007	147496	147496	125860	125860	3	3	5	5
ERR3684529	769	399	12	0	0	0	1047624	813594	71748	0	0	0	668	7452	1005809	1139457	52.73	52.70	1851	1667	1148	895	171	209	344	443	1	1	989	4	0	0	0	8 + 11 part	17896	88.085	1.008	0.00	46.01	11.22	7452	984514	1837	1639	1083	834	174	213	352	456
ERR3684530	24	6	5	5	4	4	1136024	1127185	1126179	1126179	1109423	1109423	14	598824	1133503	1139457	52.75	52.70	598824	598824	175228	175228	1	1	3	3	0	0	0	11	0	0	0	3 + 6 part	20362	99.844	1.002	0.00	6.03	11.25	587987	1111755	587987	587987	175030	175030	1	1	3	3
ERR3684531	31	13	11	11	10	9	1129998	1121463	1115992	1115992	1099233	1055808	21	260977	1128005	1139457	52.75	52.70	126678	126678	70628	70628	4	4	6	6	1	1	125964	11	0	0	0	2 + 8 part	19183	99.385	1.003	0.00	3.80	11.03	255363	1106867	125859	125859	70057	70057	4	4	7	7
ERR3684532	580	343	35	2	0	0	1081643	923392	247357	29220	0	0	525	17318	1058370	1139457	52.77	52.70	2806	2504	1569	1270	112	128	239	282	1	1	9545	4	0	0	2	3 + 14 part	19637	92.882	1.005	0.00	35.03	11.71	17318	1037695	2690	2443	1475	1180	116	132	248	294
ERR3684533	22	7	6	6	4	4	1134519	1127027	1126021	1126021	1086145	1086145	14	598747	1132864	1139457	52.75	52.70	598747	598747	175081	175081	1	1	3	3	0	0	0	11	0	0	0	2 + 6 part	19889	99.846	1.002	0.00	5.85	11.07	587891	1111631	587891	587891	175011	175011	1	1	3	3
ERR3684534	25	8	7	7	5	5	1135165	1127246	1126240	1126240	1085581	1085581	15	377198	1133046	1139457	52.75	52.70	221704	221704	151289	151289	2	2	4	4	0	0	0	11	0	0	0	2 + 7 part	19898	99.846	1.002	0.00	4.68	10.98	371919	1111767	216090	216090	151206	151206	2	2	4	4
