Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
ERR3684488	724	334	20	1	0	0	993672	800449	135591	12054	0	0	507	12054	924085	1139457	52.45	52.78	2447	1930	852	-	2971.7	2410.0	120	169	368	-	1	1	2255	0	0	0	0	25 + 0 part	23640	78.935	1.000	0.00	35.81	11.90	12054	899190	2447	1896	791	-	2937.9	2382.6	120	169	376	-
ERR3684489	31	9	7	7	6	4	1129811	1120037	1115285	1115285	1098729	1011157	16	598732	1125394	1139457	52.72	52.78	598732	598732	44347	44347	380388.3	375693.6	1	1	5	5	0	0	0	0	0	0	0	2 + 0 part	1489	98.619	1.000	0.00	14.69	11.75	598645	1123489	598645	598645	44347	44347	380285.2	375591.7	1	1	5	5
ERR3684490	167	51	29	25	18	5	1180120	1133176	1092391	1062716	945100	476005	82	133865	1155025	1139457	52.79	52.78	43757	43757	14070	14171	58468.4	59267.2	8	8	24	23	1	1	17351	0	0	0	1	35 + 3 part	36703	98.107	1.000	0.00	31.84	13.86	133865	1117945	43757	43757	13059	14070	58330.6	59127.6	8	8	24	23
ERR3684491	265	93	45	33	12	4	1211998	1147428	1045879	957225	605076	335807	131	140749	1174681	1139457	52.58	52.78	26596	27194	4872	6013	41989.1	43287.1	12	11	48	42	0	0	0	1	0	0	1	54 + 3 part	61493	97.667	1.000	0.00	32.98	13.30	140749	1112683	26596	27194	4872	6013	41915.8	43211.5	12	11	48	42
ERR3684492	117	76	46	30	15	5	1124689	1106680	1020666	906622	672527	365435	93	114718	1118275	1139457	52.74	52.78	28057	26720	6048	4973	39065.6	38339.4	11	12	44	47	0	0	0	0	0	0	0	7 + 1 part	7750	97.437	1.000	0.00	38.64	14.05	114718	1110114	28057	26720	6048	4913	39047.8	38321.9	11	12	44	48
ERR3684493	144	95	58	39	10	1	1123271	1100813	991592	848350	375484	56520	116	56520	1115102	1139457	52.73	52.78	18448	18448	4618	4309	22156.1	21682.5	19	19	61	66	0	0	0	1	0	0	0	10 + 1 part	8960	97.044	1.000	0.00	27.68	12.39	56516	1105573	18448	18448	4618	4309	22136.3	21663.2	19	19	61	66
ERR3684494	263	191	85	27	1	0	1098146	1063195	805240	380477	32056	0	224	32056	1087084	1139457	52.64	52.78	8223	7859	2066	1500	9195.1	8772.5	46	49	136	162	0	0	0	0	0	0	0	11 + 0 part	11417	94.394	1.000	0.00	31.14	12.36	32056	1075634	8223	7859	2066	1456	9182.8	8760.7	46	49	136	162
ERR3684495	53	19	11	11	9	6	1138986	1125553	1110925	1110925	1080964	957459	29	325392	1132422	1139457	52.70	52.78	155980	155980	43201	43201	176101.7	175014.4	3	3	8	8	0	0	0	0	0	0	0	8 + 0 part	8787	98.584	1.000	0.00	7.12	11.66	325392	1123318	155980	155980	43201	43201	176090.5	175003.4	3	3	8	8
ERR3684496	448	279	52	5	0	0	1022782	932364	380599	66660	0	0	365	21792	994996	1139457	52.59	52.78	4066	3477	1276	-	4842.6	4228.6	78	97	247	-	0	0	0	0	0	0	0	2 + 0 part	1971	87.139	1.000	0.00	32.43	11.89	21792	992820	4066	3477	1276	-	4837.1	4223.8	78	97	247	-
ERR3684497	115	34	9	9	8	5	1183128	1152053	1114488	1114488	1097947	974503	54	299430	1166717	1139457	52.64	52.78	298963	298963	43201	43201	202498.7	207343.2	2	2	7	7	0	0	0	1	0	0	1	35 + 2 part	42567	98.598	1.000	0.00	11.48	11.93	299046	1123449	298963	298963	43201	43201	202244.3	207082.7	2	2	7	7
ERR3684498	94	41	32	29	17	8	1143050	1122423	1104697	1085077	878878	572230	54	136614	1131646	1139457	52.69	52.78	52305	52305	15698	15698	54103.8	53732.9	8	8	24	24	0	0	0	1	0	0	0	13 + 0 part	13859	98.075	1.000	0.00	7.61	11.73	136614	1117141	52305	52305	15698	14804	54065.4	53694.8	8	8	24	25
ERR3684499	44	12	10	10	8	5	1130876	1119231	1114479	1114479	1079688	956238	19	299315	1124290	1139457	52.72	52.78	298999	298999	43201	43201	206582.5	203832.7	2	2	7	7	0	0	0	0	0	0	0	1 + 0 part	607	98.591	1.000	0.00	7.21	11.66	299279	1123148	298871	298871	43201	43201	206469.0	203720.8	2	2	7	7
ERR3684500	43	18	12	11	10	6	1129545	1120875	1104441	1098970	1082428	931238	24	294659	1124795	1139457	52.71	52.78	172597	172597	43201	37886	182211.7	179867.1	3	3	8	9	0	0	0	0	0	0	0	3 + 0 part	2144	98.501	1.000	0.00	7.40	11.67	294659	1122303	172597	172597	43201	37886	182200.7	179856.2	3	3	8	9
ERR3684501	196	42	10	10	9	6	1212238	1158742	1114092	1114092	1097561	974157	71	299396	1178644	1139457	52.74	52.78	298933	298933	43201	43201	189800.3	196327.7	2	2	8	8	0	0	0	0	0	0	0	46 + 5 part	54284	98.619	1.001	0.00	8.63	12.01	299369	1124016	298933	298933	43201	43201	189720.4	196245.1	2	2	8	8
ERR3684502	55	18	14	14	12	7	1133252	1117444	1108165	1108165	1067984	859660	31	172617	1126595	1139457	52.71	52.78	126210	126210	40233	40233	110955.0	109702.6	4	4	11	11	0	0	0	0	0	0	0	6 + 0 part	4718	98.435	1.000	0.00	7.04	11.50	172617	1121447	126210	126210	40233	40233	110912.3	109660.3	4	4	11	11
ERR3684503	963	264	1	0	0	0	788846	444812	5795	0	0	0	560	5795	656546	1139457	52.62	52.78	1333	683	643	-	1563.9	901.1	164	413	445	-	3	3	6050	0	0	0	0	4 + 0 part	3026	57.343	1.000	0.00	36.89	11.18	5791	653241	1329	677	633	-	1552.2	894.3	165	415	448	-
ERR3684504	75	32	26	23	13	7	1133835	1116518	1104481	1079581	920556	653424	44	136963	1125545	1139457	52.71	52.78	76658	76658	16557	13586	70398.8	69539.2	6	6	18	19	0	0	0	0	0	0	0	6 + 0 part	5129	98.298	1.000	0.00	7.59	11.52	136963	1119892	76658	76658	16228	13586	70378.7	69519.4	6	6	18	19
ERR3684505	886	328	5	0	0	0	926415	656147	30337	0	0	0	573	7038	830731	1139457	52.76	52.78	1755	1224	721	-	2168.2	1580.7	145	250	437	-	3	3	9334	0	0	0	0	17 + 1 part	13487	71.674	1.000	0.00	34.41	12.00	6575	816517	1723	1217	700	-	2125.6	1549.7	147	253	444	-
ERR3684506	929	332	9	0	0	0	935214	639194	55266	0	0	0	586	9736	826637	1139457	52.48	52.78	1627	1189	743	-	2116.7	1535.6	156	269	453	-	2	2	5430	0	0	0	0	34 + 0 part	30849	69.701	1.001	0.00	40.64	12.46	9736	794760	1617	1133	663	-	2068.2	1500.4	157	272	467	-
ERR3684507	30	10	7	7	6	4	1127761	1120302	1114480	1114480	1097949	1010425	16	598552	1124385	1139457	52.73	52.78	598552	598552	44323	44323	380454.5	375422.1	1	1	5	5	0	0	0	1	0	0	0	0 + 0 part	0	98.654	1.000	0.00	7.21	11.75	598282	1123798	598282	598282	44323	44323	380157.8	375129.4	1	1	5	5
ERR3684508	1198	279	5	0	0	0	933293	512896	33492	0	0	0	631	8777	765983	1139457	52.21	52.78	1385	871	655	-	1856.4	1247.9	170	341	497	-	2	2	3464	1	0	0	1	81 + 3 part	86139	59.495	1.001	0.00	43.19	15.63	8777	678337	1275	752	-	-	1697.4	1141.1	177	371	-	-
ERR3684509	39	12	8	8	6	5	1140878	1130219	1124852	1124852	1084684	1048805	19	448632	1135295	1139457	52.70	52.78	172779	172779	126482	126482	259427.2	258479.6	2	2	5	5	0	0	0	0	0	0	0	5 + 0 part	5895	99.090	1.000	0.00	15.59	12.31	448545	1128996	172779	172779	126482	126482	259342.6	258395.3	2	2	5	5
ERR3684510	213	45	12	12	11	8	1226571	1164192	1113706	1113706	1097175	973731	84	299414	1192327	1139457	52.57	52.78	145810	145810	35851	43201	141477.9	148042.4	3	3	11	10	0	0	0	0	0	0	1	60 + 3 part	68483	98.532	1.001	0.00	9.71	12.02	299360	1123024	145810	145810	35851	43201	141362.9	147922.0	3	3	11	10
ERR3684511	57	16	7	7	6	4	1145694	1128660	1115286	1115286	1098731	1011091	27	598576	1136135	1139457	52.71	52.78	598576	598576	44415	44415	376788.5	375690.0	1	1	5	5	0	0	0	1	0	0	0	12 + 0 part	11392	98.678	1.000	0.00	7.12	11.74	598306	1124078	598306	598306	44415	44415	376459.5	375362.0	1	1	5	5
ERR3684512	215	56	9	8	7	5	1255127	1195812	1120193	1114918	1098375	1010810	87	299419	1219552	1139457	52.65	52.78	209097	298962	43201	44364	204127.9	218476.5	3	2	7	6	0	0	0	0	0	0	0	65 + 7 part	95431	98.585	1.001	0.00	8.81	11.92	299393	1123724	209043	298962	43201	44364	203949.9	218286.0	3	2	7	6
ERR3684513	946	74	0	0	0	0	462800	96411	0	0	0	0	322	2773	266121	1139457	52.43	52.78	845	-	553	-	961.5	224.6	115	-	272	-	1	1	2341	0	0	0	0	10 + 0 part	10471	22.441	1.000	0.00	37.55	11.34	2773	255627	827	-	531	-	909.7	212.5	119	-	282	-
ERR3684514	825	30	0	0	0	0	356438	39451	0	0	0	0	219	3323	169704	1139457	52.18	52.78	763	-	548	-	891.7	132.8	82	-	187	-	0	0	0	0	0	0	0	3 + 0 part	2636	14.642	1.000	0.00	64.14	10.79	3323	166820	756	-	538	-	871.7	129.8	83	-	189	-
ERR3684515	52	14	8	8	7	4	1141777	1125758	1114935	1114935	1098368	974886	24	598723	1132928	1139457	52.72	52.78	598723	598723	43225	43225	366891.7	364789.4	1	1	6	6	0	0	0	1	0	0	0	8 + 0 part	9056	98.595	1.000	0.00	7.03	11.93	598447	1123267	598447	598447	43225	43225	366580.1	364479.7	1	1	6	6
ERR3684516	416	275	61	12	0	0	1036190	961996	475107	147833	0	0	346	17327	1014349	1139457	52.74	52.78	4611	3787	1330	-	5428.0	4832.0	68	83	234	-	1	1	10996	1	0	0	0	2 + 0 part	1096	88.815	1.000	0.00	33.70	12.15	17327	1012017	4462	3772	1319	-	5367.4	4778.1	69	84	236	-
ERR3684517	78	25	8	8	7	4	1158428	1138684	1109958	1109958	1097914	974498	36	598571	1146358	1139457	52.67	52.78	598571	598571	43201	43201	362285.7	364479.9	1	1	6	6	0	0	0	0	0	0	0	19 + 0 part	22911	98.567	1.000	0.00	13.53	11.84	598493	1123052	598493	598493	43201	43201	362173.7	364367.1	1	1	6	6
ERR3684518	954	91	1	0	0	0	504117	129261	7511	0	0	0	353	7511	313111	1139457	52.44	52.78	898	-	576	-	1183.4	325.2	120	-	296	-	2	2	10697	0	0	0	0	1 + 1 part	1925	27.313	1.000	0.00	38.89	12.21	6974	311168	893	-	569	-	1140.1	313.3	122	-	299	-
ERR3684519	86	23	7	7	6	4	1164232	1141699	1114848	1114848	1098282	1010710	35	598564	1150387	1139457	52.73	52.78	598564	598564	44347	44347	372001.1	375569.4	1	1	5	5	0	0	0	1	0	0	0	18 + 2 part	25863	98.658	1.000	0.00	7.56	12.10	598289	1123920	598289	598289	44347	44347	371668.9	375234.0	1	1	5	5
ERR3684520	197	47	28	25	15	9	1193415	1142072	1110330	1087821	929421	711753	72	147081	1158892	1139457	52.75	52.78	55755	55755	12702	16763	65687.1	66807.5	7	7	22	21	0	0	0	0	0	0	0	31 + 2 part	33877	98.707	1.000	0.00	10.14	12.36	147081	1124411	55755	55755	12702	16763	65640.1	66759.6	7	7	22	21
ERR3684521	254	57	11	10	8	5	1269883	1194800	1113997	1106463	1075944	952344	97	299408	1225558	1139457	52.54	52.78	150684	298941	13964	43225	187223.6	201370.8	3	2	10	7	0	0	0	0	0	0	2	71 + 4 part	98998	98.631	1.001	0.00	10.05	12.18	299355	1124484	150684	298941	13964	43225	187053.3	201187.7	3	2	10	7
ERR3684522	73	23	17	16	13	10	1140464	1121546	1108555	1101124	1051708	928193	35	201462	1130192	1139457	52.72	52.78	92436	92436	35935	35935	95785.3	95006.5	5	5	13	13	1	1	16878	0	0	0	0	8 + 1 part	8048	98.460	1.000	0.00	7.58	11.94	201462	1121815	92436	92436	35935	35935	95675.4	94897.4	5	5	13	13
ERR3684523	133	36	24	22	15	5	1166447	1127032	1105846	1093202	976679	617964	63	200986	1145835	1139457	52.71	52.78	63089	63089	19527	19527	97594.8	98141.1	5	5	18	18	1	1	24835	0	0	0	0	28 + 0 part	24177	98.303	1.001	0.00	8.21	11.42	200986	1121250	63089	63089	19527	19527	97505.7	98051.5	5	5	18	18
ERR3684524	54	14	8	8	7	4	1140787	1125251	1115113	1115113	1098546	974953	24	598606	1132259	1139457	52.72	52.78	598606	598606	44416	43225	367064.9	364746.2	1	1	5	6	0	0	0	1	0	0	0	8 + 0 part	7690	98.659	1.000	0.00	7.03	12.10	598327	1123895	598327	598327	43225	43225	366732.7	364416.0	1	1	6	6
ERR3684525	97	46	33	25	18	8	1134277	1115875	1088476	1030264	934111	590972	58	147880	1124078	1139457	52.72	52.78	53048	53048	11723	10210	57554.8	56777.9	8	8	24	25	0	0	0	1	0	0	0	9 + 0 part	7064	98.005	1.000	0.00	8.15	11.73	147880	1116413	53048	53048	11723	10210	57543.6	56766.9	8	8	24	25
