Bin.Id	Marker lineage	genomes	markers	marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
ERR3684553	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.81	0.00	
ERR3684552	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684551	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684550	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684548	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684535	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684534	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684533	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684531	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684530	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684528	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684526	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684524	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684523	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684521	f__Spirochaetaceae	56	235	124	0	232	3	0	0	0	100.00	0.19	0.00	
ERR3684519	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684517	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684512	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684511	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684509	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684507	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684504	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684501	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684500	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684499	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684497	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684495	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684489	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684480	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684477	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684473	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684469	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684460	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684458	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684457	f__Spirochaetaceae	56	235	124	0	234	1	0	0	0	100.00	0.81	0.00	
ERR3684456	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684454	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684453	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684452	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
ERR3684451	f__Spirochaetaceae	56	235	124	0	233	2	0	0	0	100.00	0.85	0.00	
ERR3684450	f__Spirochaetaceae	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00	
SRR13721290	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR5210583	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR5210570	f__Spirochaetaceae	56	235	124	1	231	3	0	0	0	99.97	0.48	0.00	
ERR5207032	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR5207027	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR5207018	f__Spirochaetaceae	56	235	124	1	232	1	1	0	0	99.97	0.14	0.00	
ERR5207012	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR5207003	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4993357	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4993354	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4993350	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4899231	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4899217	f__Spirochaetaceae	56	235	124	1	231	2	1	0	0	99.97	0.90	0.00	
ERR4899201	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853670	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853651	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853640	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853617	f__Spirochaetaceae	56	235	124	1	230	3	1	0	0	99.97	0.57	16.67	
ERR4853596	f__Spirochaetaceae	56	235	124	1	231	2	1	0	0	99.97	0.75	0.00	
ERR4853590	f__Spirochaetaceae	56	235	124	1	232	2	0	0	0	99.97	0.92	0.00	
ERR4853583	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853570	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853566	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853559	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853555	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853537	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4045395	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR3684706	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR3684547	f__Spirochaetaceae	56	235	124	1	230	4	0	0	0	99.97	0.24	0.00	
ERR3684540	f__Spirochaetaceae	56	235	124	1	233	1	0	0	0	99.97	0.81	0.00	
ERR3684520	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR3684515	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR3684502	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR3684491	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR3684483	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.97	0.00	0.00	
ERR4853531	f__Spirochaetaceae	56	235	124	1	231	2	1	0	0	99.95	0.28	0.00	
ERR5210575	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.95	0.00	0.00	
ERR5207015	f__Spirochaetaceae	56	235	124	2	232	1	0	0	0	99.95	0.27	0.00	
ERR4853665	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.95	0.00	0.00	
ERR4899213	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.93	0.00	0.00	
ERR5207010	f__Spirochaetaceae	56	235	124	2	232	1	0	0	0	99.91	0.05	0.00	
ERR5206990	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.88	0.00	0.00	
ERR3684525	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.87	0.00	0.00	
ERR4853641	f__Spirochaetaceae	56	235	124	2	232	1	0	0	0	99.77	0.81	0.00	
ERR5207026	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.73	0.00	0.00	
ERR4899197	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.73	0.00	0.00	
ERR4853677	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.73	0.00	0.00	
ERR3684652	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.73	0.00	0.00	
ERR3684542	f__Spirochaetaceae	56	235	124	1	232	2	0	0	0	99.73	0.09	0.00	
ERR3684472	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.73	0.00	0.00	
ERR3684666	f__Spirochaetaceae	56	235	124	1	233	1	0	0	0	99.73	0.27	0.00	
ERR3684613	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.73	0.00	0.00	
ERR3684482	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.73	0.00	0.00	
ERR3684695	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.71	0.00	0.00	
ERR3684522	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.71	0.00	0.00	
ERR4899222	f__Spirochaetaceae	56	235	124	3	232	0	0	0	0	99.68	0.00	0.00	
ERR4899215	f__Spirochaetaceae	56	235	124	2	225	7	1	0	0	99.62	1.14	10.00	
ERR4853662	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.62	0.00	0.00	
ERR3684510	f__Spirochaetaceae	56	235	124	1	233	1	0	0	0	99.60	0.03	0.00	
ERR3684498	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.60	0.00	0.00	
ERR4853678	f__Spirochaetaceae	56	235	124	5	229	1	0	0	0	99.58	0.12	0.00	
SRR3268722	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.57	0.00	0.00	
ERR4899209	f__Spirochaetaceae	56	235	124	2	232	1	0	0	0	99.57	0.12	0.00	
ERR5210577	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.57	0.00	0.00	
ERR3684538	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.46	0.00	0.00	
ERR4853599	f__Spirochaetaceae	56	235	124	3	230	2	0	0	0	99.44	0.21	0.00	
ERR4045379	f__Spirochaetaceae	56	235	124	3	230	2	0	0	0	99.41	1.61	0.00	
ERR5207030	f__Spirochaetaceae	56	235	124	4	228	3	0	0	0	99.41	0.90	0.00	
ERR4853682	f__Spirochaetaceae	56	235	124	3	230	2	0	0	0	99.35	0.85	0.00	
ERR3684597	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.33	0.00	0.00	
ERR4045386	f__Spirochaetaceae	56	235	124	3	227	5	0	0	0	99.30	0.97	20.00	
ERR7123576	f__Spirochaetaceae	56	235	124	4	224	7	0	0	0	99.25	0.93	0.00	
ERR7123590	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR7123582	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR7123581	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR5210579	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR4899241	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR4853629	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR4853623	f__Spirochaetaceae	56	235	124	1	232	2	0	0	0	99.19	0.85	0.00	
ERR4045387	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR3684626	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR3684615	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR3684610	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR3684600	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR3684584	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR3684580	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR3684568	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR3684565	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.19	0.00	0.00	
ERR3684537	f__Spirochaetaceae	56	235	124	1	229	5	0	0	0	99.19	0.53	0.00	
ERR3684479	f__Spirochaetaceae	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00	
ERR4993360	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.17	0.00	0.00	
ERR4899211	f__Spirochaetaceae	56	235	124	4	230	1	0	0	0	99.17	0.12	0.00	
ERR4853551	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.17	0.00	0.00	
ERR3684669	f__Spirochaetaceae	56	235	124	4	230	1	0	0	0	99.17	0.81	0.00	
ERR3684583	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.17	0.00	0.00	
ERR3684474	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.17	0.00	0.00	
ERR4853540	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.15	0.00	0.00	
ERR4853613	f__Spirochaetaceae	56	235	124	3	230	2	0	0	0	99.12	1.08	0.00	
ERR4853679	f__Spirochaetaceae	56	235	124	2	233	0	0	0	0	99.08	0.00	0.00	
ERR7123580	f__Spirochaetaceae	56	235	124	3	232	0	0	0	0	99.05	0.00	0.00	
ERR7123579	f__Spirochaetaceae	56	235	124	3	232	0	0	0	0	99.05	0.00	0.00	
ERR4899210	f__Spirochaetaceae	56	235	124	2	228	5	0	0	0	98.92	1.00	0.00	
ERR4853550	f__Spirochaetaceae	56	235	124	2	232	1	0	0	0	98.92	0.16	0.00	
ERR3684643	f__Spirochaetaceae	56	235	124	2	232	1	0	0	0	98.92	0.20	0.00	
ERR4899227	f__Spirochaetaceae	56	235	124	3	231	1	0	0	0	98.90	0.81	0.00	
ERR3684566	f__Spirochaetaceae	56	235	124	3	232	0	0	0	0	98.90	0.00	0.00	
ERR7123586	f__Spirochaetaceae	56	235	124	3	230	2	0	0	0	98.90	1.61	0.00	
ERR3684623	f__Spirochaetaceae	56	235	124	3	232	0	0	0	0	98.90	0.00	0.00	
ERR7123591	f__Spirochaetaceae	56	235	124	3	232	0	0	0	0	98.88	0.00	0.00	
ERR5207005	f__Spirochaetaceae	56	235	124	4	228	3	0	0	0	98.85	0.59	0.00	
ERR4853530	f__Spirochaetaceae	56	235	124	4	230	1	0	0	0	98.78	0.12	0.00	
ERR4853668	f__Spirochaetaceae	56	235	124	5	229	1	0	0	0	98.76	0.81	0.00	
ERR4899206	f__Spirochaetaceae	56	235	124	3	232	0	0	0	0	98.74	0.00	0.00	
ERR4045383	f__Spirochaetaceae	56	235	124	3	231	1	0	0	0	98.74	0.16	0.00	
ERR4853619	f__Spirochaetaceae	56	235	124	5	230	0	0	0	0	98.69	0.00	0.00	
ERR3684490	f__Spirochaetaceae	56	235	124	4	230	1	0	0	0	98.63	0.81	0.00	
ERR4853663	f__Spirochaetaceae	56	235	124	4	230	1	0	0	0	98.60	0.81	0.00	
ERR4853549	f__Spirochaetaceae	56	235	124	6	228	1	0	0	0	98.56	0.05	0.00	
ERR5210563	f__Spirochaetaceae	56	235	124	3	229	3	0	0	0	98.52	0.26	0.00	
ERR4853643	f__Spirochaetaceae	56	235	124	3	232	0	0	0	0	98.52	0.00	0.00	
ERR4899214	f__Spirochaetaceae	56	235	124	3	230	2	0	0	0	98.52	0.81	0.00	
ERR3684596	f__Spirochaetaceae	56	235	124	3	230	2	0	0	0	98.52	1.61	0.00	
ERR4853661	f__Spirochaetaceae	56	235	124	4	230	1	0	0	0	98.47	0.81	0.00	
ERR3684581	f__Spirochaetaceae	56	235	124	6	228	1	0	0	0	98.42	0.81	0.00	
ERR5207028	f__Spirochaetaceae	56	235	124	2	232	1	0	0	0	98.39	0.81	0.00	
ERR4853681	f__Spirochaetaceae	56	235	124	4	229	2	0	0	0	98.39	1.21	0.00	
ERR3684492	f__Spirochaetaceae	56	235	124	2	232	1	0	0	0	98.39	0.12	0.00	
ERR3684485	f__Spirochaetaceae	56	235	124	2	222	11	0	0	0	98.39	4.45	0.00	
