Gene,Nichols,Nichols - Madagascar,SS14,TEN,TPE,Accession,Name,Organism
recR,189,37,279,8,31,WP_010882448,recombination mediator RecR [Treponema pallidum],Treponema pallidum
spoU,189,37,279,8,31,WP_014342247,TrmH family RNA methyltransferase [Treponema pallidum],Treponema pallidum
acpS,189,37,279,8,31,WP_010882272,holo-ACP synthase [Treponema pallidum],Treponema pallidum
nupQ,189,37,279,8,31,WP_010881771,ABC transporter permease [Treponema pallidum],Treponema pallidum
rnz,189,37,279,8,31,WP_014342594,ribonuclease Z [Treponema pallidum],Treponema pallidum
folC,189,37,279,8,31,WP_010881788,folylpolyglutamate synthase/dihydrofolate synthase family protein [Treponema pallidum],Treponema pallidum
rpoD~~~sigA,189,37,279,8,31,WP_010881942,RNA polymerase sigma factor RpoD [Treponema pallidum],Treponema pallidum
group_274,189,37,279,8,31,WP_013945085,hypothetical protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
yigB,189,37,279,8,31,WP_013945063,MULTISPECIES: HAD family hydrolase [Treponema],Treponema
fAU1,189,37,279,8,31,WP_010882139,5-formyltetrahydrofolate cyclo-ligase [Treponema pallidum],Treponema pallidum
group_273,189,37,279,8,31,WP_010881471,hypothetical protein [Treponema pallidum],Treponema pallidum
clpX,189,37,279,8,31,WP_010881957,ATP-dependent Clp protease ATP-binding subunit ClpX [Treponema pallidum],Treponema pallidum
hflK,189,37,279,8,31,WP_013944820,MULTISPECIES: FtsH protease activity modulator HflK [Treponema],Treponema
pfoR,189,37,279,8,31,WP_237260071,PTS transporter subunit IIC [Treponema pallidum],Treponema pallidum
tig,189,37,279,8,31,WP_013945146,trigger factor [Treponema paraluiscuniculi],Treponema paraluiscuniculi
comEB,189,37,279,8,31,WP_010881723,deoxycytidylate deaminase [Treponema pallidum],Treponema pallidum
proC,189,37,279,8,31,WP_010882242,pyrroline-5-carboxylate reductase [Treponema pallidum],Treponema pallidum
motE~~~flbB,189,37,279,8,31,WP_013945205,MULTISPECIES: periplasmic-type flagellar collar protein FlbB [Treponema],Treponema
flgB,189,37,279,8,31,WP_010881844,MULTISPECIES: flagellar basal body rod protein FlgB [Treponema],Treponema
rplF~~~rpsH,189,37,279,8,31,WP_010881651,50S ribosomal protein L6 [Treponema pallidum],Treponema pallidum
group_270,189,37,279,8,31,WP_013945579,MULTISPECIES: hypothetical protein [Treponema],Treponema
group_269,189,37,279,8,31,WP_014342544,DUF2715 domain-containing protein [Treponema pallidum],Treponema pallidum
def,189,37,279,8,31,WP_010882202,MULTISPECIES: peptide deformylase [Treponema],Treponema
group_268,189,37,279,8,31,WP_010881694,vWA domain-containing protein [Treponema pallidum],Treponema pallidum
uvrC,189,37,279,8,31,WP_010881921,excinuclease ABC subunit UvrC [Treponema pallidum],Treponema pallidum
tmpB~~~lysM,189,37,279,8,31,WP_010882214,LysM peptidoglycan-binding domain-containing protein [Treponema pallidum],Treponema pallidum
dltB,189,37,279,8,31,WP_014342489,MBOAT family O-acyltransferase [Treponema pallidum],Treponema pallidum
tkt,189,37,279,8,31,WP_014342485,transketolase [Treponema pallidum],Treponema pallidum
csrA,189,37,279,8,31,WP_010882102,MULTISPECIES: carbon storage regulator CsrA [Treponema],Treponema
rplT,189,37,279,8,31,WP_010882292,MULTISPECIES: 50S ribosomal protein L20 [Treponema],Treponema
group_261,189,37,279,8,31,WP_014342343,SH3 domain-containing protein [Treponema pallidum],Treponema pallidum
dgcA,189,37,279,8,31,WP_014505666,diguanylate cyclase DgcA [Treponema pallidum],Treponema pallidum
rpsK,189,37,279,8,31,WP_010881659,30S ribosomal protein S11 [Treponema pallidum],Treponema pallidum
prmC,189,37,279,8,31,WP_014342246,peptide chain release factor N(5)-glutamine methyltransferase [Treponema pallidum],Treponema pallidum
pckG,189,37,279,8,31,WP_010881571,phosphoenolpyruvate carboxykinase (GTP) [Treponema pallidum],Treponema pallidum
abcC,189,37,279,8,31,WP_010881569,MULTISPECIES: methionine ABC transporter ATP-binding protein [Treponema],Treponema
yifB,189,37,279,8,31,WP_014342624,YifB family Mg chelatase-like AAA ATPase [Treponema pallidum],Treponema pallidum
yfcE,189,37,279,8,31,WP_010882380,metallophosphoesterase family protein [Treponema pallidum],Treponema pallidum
group_258,189,37,279,8,31,WP_012460602,HD-GYP domain-containing protein [Treponema pallidum],Treponema pallidum
group_256,189,37,279,8,31,WP_014342492,penicillin-binding Tp47 domain A-containing protein [Treponema pallidum],Treponema pallidum
cheA,189,37,279,8,31,WP_014505476,chemotaxis protein CheA [Treponema pallidum],Treponema pallidum
flaB1,189,37,279,8,31,WP_010882311,MULTISPECIES: flagellin [Treponema],Treponema
group_255,189,37,279,8,31,WP_039487409,DUF4340 domain-containing protein [Treponema pallidum],Treponema pallidum
hEAT,189,37,279,8,31,WP_014505642,HEAT repeat domain-containing protein [Treponema pallidum],Treponema pallidum
nusB,189,37,279,8,31,WP_010882459,MULTISPECIES: transcription antitermination factor NusB [Treponema],Treponema
rplK,189,37,279,8,31,WP_010881685,MULTISPECIES: 50S ribosomal protein L11 [Treponema],Treponema
mutL,189,37,279,8,31,WP_014342360,hypothetical protein [Treponema pallidum],Treponema pallidum
rho,189,37,279,8,31,WP_010881703,transcription termination factor Rho [Treponema pallidum],Treponema pallidum
group_253,189,37,279,8,31,WP_014342235,hemolysin family protein [Treponema pallidum],Treponema pallidum
troC,189,37,279,8,31,WP_010881612,transition metal ABC transporter permease subunit TroC [Treponema pallidum],Treponema pallidum
group_251,189,37,279,8,31,WP_014342691,DUF2259 domain-containing protein [Treponema pallidum],Treponema pallidum
group_250,189,37,279,8,31,WP_014342306,M23 family metallopeptidase [Treponema pallidum],Treponema pallidum
oadA,189,37,279,8,31,WP_014342249,sodium-extruding oxaloacetate decarboxylase subunit alpha [Treponema pallidum],Treponema pallidum
group_249,189,37,279,8,31,WP_235214062,CNNM domain-containing protein [Treponema pallidum],Treponema pallidum
murA,189,37,279,8,31,WP_039487502,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Treponema pallidum],Treponema pallidum
nadD,189,37,279,8,31,WP_010882186,nicotinate (nicotinamide) nucleotide adenylyltransferase [Treponema pallidum],Treponema pallidum
rlmE,189,37,279,8,31,WP_010882127,MULTISPECIES: SAM-dependent methyltransferase [Treponema],Treponema
ndk,189,37,279,8,31,WP_010882454,nucleoside-diphosphate kinase [Treponema pallidum],Treponema pallidum
pth,189,37,279,8,31,WP_010882455,aminoacyl-tRNA hydrolase [Treponema pallidum],Treponema pallidum
gpsA,189,37,279,8,31,WP_010882453,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase [Treponema pallidum],Treponema pallidum
nrdA,189,37,279,8,31,WP_010882452,ribonucleoside-diphosphate reductase subunit alpha [Treponema pallidum],Treponema pallidum
wecE,189,37,279,8,31,WP_012460516,xanthine dehydrogenase family protein molybdopterin-binding subunit [Treponema pallidum],Treponema pallidum
oadB,189,37,279,8,31,WP_010881506,sodium ion-translocating decarboxylase subunit beta [Treponema pallidum],Treponema pallidum
dnaB,189,37,279,8,31,WP_010881507,replicative DNA helicase [Treponema pallidum],Treponema pallidum
rfuD,189,37,279,8,31,WP_010881751,ABC transporter permease [Treponema pallidum],Treponema pallidum
smc,189,37,279,8,31,WP_014342411,SpiroCoCo family coiled-coil protein [Treponema pallidum],Treponema pallidum
ftsL,189,37,279,8,31,WP_014505483,cell division protein FtsL [Treponema pallidum],Treponema pallidum
mraZ,189,37,279,8,31,WP_013945042,MULTISPECIES: division/cell wall cluster transcriptional repressor MraZ [Treponema],Treponema
recF,189,37,279,8,31,WP_014342226,DNA replication/repair protein RecF [Treponema pallidum],Treponema pallidum
ribF,189,37,279,8,31,WP_010882331,FAD synthetase family protein [Treponema pallidum],Treponema pallidum
nifS,189,37,279,8,31,WP_010882307,cysteine desulfurase family protein [Treponema pallidum],Treponema pallidum
oadG,189,37,279,8,31,WP_010881504,OadG family protein [Treponema pallidum],Treponema pallidum
group_247,189,37,279,8,31,WP_235214115,histidine kinase dimerization/phospho-acceptor domain-containing protein [Treponema pallidum],Treponema pallidum
gyrA,189,37,279,8,31,WP_014342227,DNA topoisomerase (ATP-hydrolyzing) subunit A [Treponema pallidum],Treponema pallidum
secD,189,37,279,8,31,WP_010881858,MULTISPECIES: protein translocase subunit SecD [Treponema],Treponema
yajC,189,37,279,8,31,WP_235214121,MULTISPECIES: preprotein translocase subunit YajC [Treponema],Treponema
rpsS,189,37,279,8,31,WP_010881639,50S ribosomal protein L2 [Treponema pallidum],Treponema pallidum
murC,189,37,279,8,31,WP_014342377,UDP-N-acetylmuramate--L-alanine ligase [Treponema pallidum],Treponema pallidum
xkdP~~~lysM,189,37,279,8,31,WP_237260079,LysM peptidoglycan-binding domain-containing protein [Treponema pallidum],Treponema pallidum
group_246,189,37,279,8,31,WP_014342481,HAD family hydrolase [Treponema pallidum],Treponema pallidum
group_245,189,37,279,8,31,WP_010881533,hypothetical protein [Treponema pallidum],Treponema pallidum
asnA,189,37,279,8,31,WP_014342483,aspartate--ammonia ligase [Treponema pallidum],Treponema pallidum
group_243,189,37,279,8,31,WP_012460608,dienelactone hydrolase family protein [Treponema pallidum],Treponema pallidum
lspA,189,37,279,8,31,WP_012460612,signal peptidase II [Treponema pallidum],Treponema pallidum
gyrB,189,37,279,8,31,WP_010882450,DNA topoisomerase (ATP-hydrolyzing) subunit B [Treponema pallidum],Treponema pallidum
group_241,189,37,279,8,31,WP_014342461,hypothetical protein [Treponema pallidum],Treponema pallidum
pheT,189,37,279,8,31,WP_010881464,phenylalanine--tRNA ligase subunit beta [Treponema pallidum],Treponema pallidum
troR,189,37,279,8,31,WP_010881614,MULTISPECIES: manganese/iron-sensitive transcriptional repressor TroR [Treponema],Treponema
mutS,189,37,279,8,31,WP_010881776,DNA mismatch repair protein MutS [Treponema pallidum],Treponema pallidum
group_240,189,37,279,8,31,WP_014505399,extracellular solute-binding protein [Treponema pallidum],Treponema pallidum
rpoN,189,37,279,8,31,WP_172841370,RNA polymerase factor sigma-54 [Treponema pallidum],Treponema pallidum
proB,189,37,279,8,31,WP_014342385,glutamate 5-kinase [Treponema pallidum],Treponema pallidum
yidD,189,37,279,8,31,WP_271426006,membrane protein insertion efficiency factor YidD [Treponema pallidum],Treponema pallidum
group_239,189,37,279,8,31,WP_014505469,DUF2715 domain-containing protein [Treponema pallidum],Treponema pallidum
asnS,189,37,279,8,31,WP_010882055,MULTISPECIES: asparagine--tRNA ligase [Treponema],Treponema
rplI,189,37,279,8,31,WP_010881509,MULTISPECIES: 50S ribosomal protein L9 [Treponema],Treponema
murB,189,37,279,8,31,WP_014342265,UDP-N-acetylmuramate dehydrogenase [Treponema pallidum],Treponema pallidum
murI,189,37,279,8,31,WP_235214098,glutamate racemase [Treponema pallidum],Treponema pallidum
cps2a,189,37,279,8,31,WP_010882184,LCP family protein [Treponema pallidum],Treponema pallidum
group_236,189,37,279,8,31,WP_014342231,DUF3798 domain-containing protein [Treponema pallidum],Treponema pallidum
group_235,189,37,279,8,31,WP_010881454,DUF721 domain-containing protein [Treponema pallidum],Treponema pallidum
group_234,189,37,279,8,31,WP_010881697,flagellar filament outer layer protein FlaA [Treponema pallidum],Treponema pallidum
ftsA,189,37,279,8,31,WP_012460545,cell division protein FtsA [Treponema pallidum],Treponema pallidum
group_233,189,37,279,8,31,WP_010881561,C1 family peptidase [Treponema pallidum],Treponema pallidum
metP,189,37,279,8,31,WP_010881568,MULTISPECIES: methionine ABC transporter permease [Treponema],Treponema
atpB1,189,37,279,8,31,WP_010881875,V-type ATP synthase subunit B [Treponema pallidum],Treponema pallidum
infA,189,37,279,8,31,WP_010881546,MULTISPECIES: translation initiation factor IF-1 [Treponema],Treponema
group_231,189,37,279,8,31,WP_010882248,DHH family phosphoesterase [Treponema pallidum],Treponema pallidum
lonB,189,37,279,8,31,WP_014342232,Lon protease family protein [Treponema pallidum],Treponema pallidum
murG,189,37,279,8,31,WP_010881971,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Treponema pallidum],Treponema pallidum
group_229,189,37,279,8,31,WP_042491875,MULTISPECIES: tetratricopeptide repeat protein [Treponema],Treponema
rsfS,189,37,279,8,31,WP_014342558,ribosome silencing factor [Treponema pallidum],Treponema pallidum
group_228,189,37,279,8,31,WP_010881852,MBL fold metallo-hydrolase [Treponema pallidum],Treponema pallidum
fAA1,189,37,279,8,31,WP_050810524,AMP-dependent synthetase/ligase [Treponema pallidum],Treponema pallidum
glmS,189,37,279,8,31,WP_014342620,glutamine--fructose-6-phosphate transaminase (isomerizing) [Treponema pallidum],Treponema pallidum
atpA1,189,37,279,8,31,WP_010881874,V-type ATP synthase subunit A [Treponema pallidum],Treponema pallidum
group_227,189,37,279,8,31,WP_014342420,hypothetical protein [Treponema pallidum],Treponema pallidum
group_225,189,37,279,8,31,WP_010882246,ATP-dependent Clp protease ATP-binding subunit ClpA [Treponema pallidum],Treponema pallidum
rssA,189,37,279,8,31,WP_013945585,patatin-like phospholipase family protein [Treponema paraluiscuniculi],Treponema paraluiscuniculi
potD,189,37,279,8,31,WP_010882100,extracellular solute-binding protein [Treponema pallidum],Treponema pallidum
flgL~~~fliW,189,37,279,8,31,WP_010882104,flagellar hook-associated protein 3 [Treponema pallidum],Treponema pallidum
nrdB,189,37,279,8,31,WP_013944767,MULTISPECIES: ribonucleotide-diphosphate reductase subunit beta [Treponema],Treponema
cgtA,189,37,279,8,31,WP_010882187,Obg family GTPase CgtA [Treponema pallidum],Treponema pallidum
ftsQ,189,37,279,8,31,WP_010881836,cell division protein FtsQ/DivIB [Treponema pallidum],Treponema pallidum
ftsW,189,37,279,8,31,WP_012460544,putative lipid II flippase FtsW [Treponema pallidum],Treponema pallidum
fliJ,189,37,279,8,31,WP_010881851,MULTISPECIES: flagellar export protein FliJ [Treponema],Treponema
fliI,189,37,279,8,31,WP_010881850,flagellar protein export ATPase FliI [Treponema pallidum],Treponema pallidum
tadD,189,37,279,8,31,WP_235214122,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
lon,189,37,279,8,31,WP_010881972,endopeptidase La [Treponema pallidum],Treponema pallidum
rpmJ,189,37,279,8,31,WP_010881657,50S ribosomal protein L36 [Treponema pallidum],Treponema pallidum
group_222,189,37,279,8,31,WP_010882378,alpha/beta hydrolase [Treponema pallidum],Treponema pallidum
group_221,189,37,279,8,31,WP_014342655,transporter associated domain-containing protein [Treponema pallidum],Treponema pallidum
recB,189,37,279,8,31,WP_014342634,UvrD-helicase domain-containing protein [Treponema pallidum],Treponema pallidum
group_220,189,37,279,8,31,WP_010881625,hypothetical protein [Treponema pallidum],Treponema pallidum
csd,189,37,279,8,31,WP_010882060,cysteine desulfurase [Treponema pallidum],Treponema pallidum
ydcV~~~potC,189,37,279,8,31,WP_014342525,ABC transporter permease [Treponema pallidum],Treponema pallidum
tprA,189,37,279,8,31,WP_244857653,major outer sheath N-terminal domain-containing protein [Treponema pallidum],Treponema pallidum
fliH,189,37,279,8,31,WP_010881849,flagellar assembly protein FliH [Treponema pallidum],Treponema pallidum
group_219,189,37,279,8,31,WP_010882097,MULTISPECIES: ABC transporter ATP-binding protein [Treponema],Treponema
group_217,189,37,279,8,31,WP_014342267,ATP-dependent helicase [Treponema pallidum],Treponema pallidum
group_215,189,37,279,8,31,WP_010882042,polynucleotide adenylyltransferase PcnB [Treponema pallidum],Treponema pallidum
argS,189,37,279,8,31,WP_013945414,arginine--tRNA ligase [Treponema paraluiscuniculi],Treponema paraluiscuniculi
rodZ,189,37,279,8,31,WP_010881782,helix-turn-helix domain-containing protein [Treponema pallidum],Treponema pallidum
eno,189,37,279,8,31,WP_010882261,MULTISPECIES: phosphopyruvate hydratase [Treponema],Treponema
group_214,189,37,279,8,31,WP_010882260,MULTISPECIES: hypothetical protein [Treponema],Treponema
group_213,189,37,279,8,31,WP_237249936,Trk system potassium transporter TrkA [Treponema pallidum],Treponema pallidum
group_212,189,37,279,8,31,WP_010882092,serine--tRNA ligase [Treponema pallidum],Treponema pallidum
pgpH,189,37,279,8,31,WP_237249907,HD family phosphohydrolase [Treponema pallidum],Treponema pallidum
group_211,189,37,279,8,31,WP_014342687,cyclic nucleotide-binding domain-containing protein [Treponema pallidum],Treponema pallidum
dacC,189,37,279,8,31,WP_237260058,D-alanyl-D-alanine carboxypeptidase family protein [Treponema pallidum],Treponema pallidum
flgD,189,37,279,8,31,WP_010882173,flagellar hook assembly protein FlgD [Treponema pallidum],Treponema pallidum
comEC,189,37,279,8,31,WP_331488646,ComEC/Rec2 family competence protein [Treponema pallidum],Treponema pallidum
rseP,189,37,279,8,31,WP_014342504,RIP metalloprotease RseP [Treponema pallidum],Treponema pallidum
lptD,189,37,279,8,31,WP_014342460,LPS-assembly protein LptD [Treponema pallidum],Treponema pallidum
mglA,189,37,279,8,31,WP_014342539,sugar ABC transporter ATP-binding protein [Treponema pallidum],Treponema pallidum
group_208,189,37,279,8,31,WP_237249912,ABC transporter permease [Treponema pallidum],Treponema pallidum
labA,189,37,279,8,31,WP_010882337,NYN domain-containing protein [Treponema pallidum],Treponema pallidum
rsmE,189,37,279,8,31,WP_010881481,16S rRNA (uracil(1498)-N(3))-methyltransferase [Treponema pallidum],Treponema pallidum
group_207,189,37,279,8,31,WP_235214131,MULTISPECIES: hypothetical protein [Treponema],Treponema
nupP,189,37,279,8,31,WP_235214119,ABC transporter permease [Treponema pallidum],Treponema pallidum
chrA,189,37,279,8,31,WP_025267562,chromate transporter [Treponema pallidum],Treponema pallidum
group_206,189,37,279,8,31,WP_014342520,phospho-sugar mutase [Treponema pallidum],Treponema pallidum
group_205,189,37,279,8,31,WP_014342491,FMN-binding protein [Treponema pallidum],Treponema pallidum
group_204,189,37,279,8,31,WP_237260108,TatD family hydrolase [Treponema pallidum],Treponema pallidum
betT,189,37,279,8,31,WP_013944811,MULTISPECIES: BCCT family transporter [Treponema],Treponema
group_202,189,37,279,8,31,WP_010882068,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
adk,189,37,279,8,31,WP_014342501,DUF2147 domain-containing protein [Treponema pallidum],Treponema pallidum
group_201,189,37,279,8,31,WP_010882276,GerMN domain-containing protein [Treponema pallidum],Treponema pallidum
group_200,189,37,279,8,31,WP_012460594,tetratricopeptide repeat protein [Treponema pallidum],Treponema pallidum
dxr,189,37,279,8,31,WP_013945233,MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate reductoisomerase [Treponema],Treponema
manB,189,37,279,8,31,WP_010881861,phosphoglucomutase [Treponema pallidum],Treponema pallidum
group_199,189,37,279,8,31,WP_014342598,DUF2225 domain-containing protein [Treponema pallidum],Treponema pallidum
flgF,189,37,279,8,31,WP_010882405,flagellar basal-body rod protein FlgF [Treponema pallidum],Treponema pallidum
trxB,189,37,279,8,31,WP_010882258,thioredoxin-disulfide reductase [Treponema pallidum],Treponema pallidum
mglC,189,37,279,8,31,WP_010882131,galactoside ABC transporter permease [Treponema pallidum],Treponema pallidum
rplP,189,37,279,8,31,WP_010881643,MULTISPECIES: 50S ribosomal protein L16 [Treponema],Treponema
group_197,189,37,279,8,31,WP_039487386,DUF4954 family protein [Treponema pallidum],Treponema pallidum
radA,189,37,279,8,31,WP_014342696,DNA repair protein RadA [Treponema pallidum],Treponema pallidum
group_196,189,37,279,8,31,WP_014342238,DUF1361 domain-containing protein [Treponema pallidum],Treponema pallidum
udk,189,37,279,8,31,WP_014342530,nucleoside kinase [Treponema pallidum],Treponema pallidum
dR0291,189,37,279,8,31,WP_010881943,MULTISPECIES: zinc ribbon domain-containing protein [Treponema],Treponema
ligA,189,37,279,8,31,WP_010882080,NAD-dependent DNA ligase LigA [Treponema pallidum],Treponema pallidum
