Assembly Accession	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value
GCA_001713315.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713315.1	sub_species	pallidum
GCA_001713335.1	strain	PT_SIF1348
GCA_001713335.1	collected_by	NIH, Portugal
GCA_001713335.1	collection_date	2014
GCA_001713335.1	geo_loc_name	Portugal
GCA_001713335.1	host	Homo sapiens
GCA_001713335.1	host_disease	Syphilis
GCA_001713335.1	isolation_source	Anal
GCA_001713335.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001713335.1	sub_species	pallidum
GCA_001761515.1	strain	PT_SIF0751
GCA_001761515.1	collected_by	NIH, Portugal
GCA_001761515.1	collection_date	2009
GCA_001761515.1	geo_loc_name	Portugal
GCA_001761515.1	host	Homo sapiens
GCA_001761515.1	host_disease	Syphilis
GCA_001761515.1	isolation_source	Tongue
GCA_001761515.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001761515.1	sub_species	pallidum
GCA_001761565.1	strain	PT_SIF0877_3
GCA_001761565.1	collected_by	NIH, Portugal
GCA_001761565.1	collection_date	2010
GCA_001761565.1	geo_loc_name	Portugal
GCA_001761565.1	host	Homo sapiens
GCA_001761565.1	host_disease	Syphilis
GCA_001761565.1	isolation_source	Tongue
GCA_001761565.1	lat_lon	38.72218828 N 9.13975864 W
GCA_001761565.1	sub_species	pallidum
GCA_001941545.1	strain	Seattle Nichols
GCA_001941545.1	genotype	14aa
GCA_001941545.1	host	Homo sapiens
GCA_001941545.1	collection_date	2013-02
GCA_001941545.1	geo_loc_name	USA: Seattle, WA
GCA_001941545.1	sample_type	Bacteria harvested from rabbit testes
GCA_001941545.1	sub_species	pallidum
GCA_002271195.1	strain	Ghana-051
GCA_002271195.1	collected_by	Sophia Children's Hospital in Rotterdam
GCA_002271195.1	collection_date	1988
GCA_002271195.1	geo_loc_name	Ghana
GCA_002271195.1	host	Homo sapiens
GCA_002271195.1	host_disease	yaws
GCA_002271195.1	isolation_source	disease
GCA_002271195.1	lat_lon	5.55602 N 0.1969 W
GCA_002271195.1	sub_species	pertenue
GCA_002271235.1	strain	CDC 2575
GCA_002271235.1	collected_by	Liska
GCA_002271235.1	collection_date	1980
GCA_002271235.1	geo_loc_name	Ghana
GCA_002271235.1	host	Homo sapiens
GCA_002271235.1	host_disease	yaws
GCA_002271235.1	isolation_source	disease
GCA_002271235.1	lat_lon	5.5560 N 0.1969 W
GCA_002271235.1	host_disease_stage	disease
GCA_002271235.1	sub_species	pertenue
GCA_003055985.1	collected_by	Masaryk University
GCA_003055985.1	collection_date	2014-12-20
GCA_003055985.1	geo_loc_name	Czech Republic
GCA_003055985.1	host	Homo sapiens
GCA_003055985.1	host_disease	syphilis
GCA_003055985.1	isolation_source	primary chancre
GCA_003055985.1	lat_lon	49.18 N 16.61 E
GCA_003055985.1	sub_species	pallidum
GCA_003055985.1	strain	UZ1974
GCA_003076575.1	strain	LMNP-1
GCA_003076575.1	alternate_ID	40M5160407
GCA_003076575.1	collected_by	DPZ Goettingen
GCA_003076575.1	collection_date	2007-04-16
GCA_003076575.1	geo_loc_name	Tanzania: Lake Manyara
GCA_003076575.1	host	Papio anubis
GCA_003076575.1	host_disease	anogenital lesion
GCA_003076575.1	isolation_source	skin
GCA_003076575.1	lat_lon	missing
GCA_003076575.1	sub_species	pertenue
GCA_003611295.1	strain	Kampung Dalan K363
GCA_003611295.1	collected_by	unknown
GCA_003611295.1	collection_date	1990-01-05
GCA_003611295.1	geo_loc_name	Indonesia: Pariaman region in Sumatra
GCA_003611295.1	host	Homo sapiens
GCA_003611295.1	host_disease	yaws
GCA_003611295.1	isolation_source	skin lesion
GCA_003611295.1	lat_lon	0.625851 S 100.122478 E
GCA_003611295.1	sub_species	pertenue
GCA_003611315.1	strain	Sei Geringging K403
GCA_003611315.1	collected_by	unknown
GCA_003611315.1	collection_date	1990-05-14
GCA_003611315.1	geo_loc_name	Indonesia: Pariaman region in Sumatra
GCA_003611315.1	host	Homo sapiens
GCA_003611315.1	host_disease	yaws
GCA_003611315.1	isolation_source	skin lesion
GCA_003611315.1	lat_lon	0.625851 S 100.122478 E
GCA_003611315.1	sub_species	pertenue
GCA_003627115.1	strain	Haiti B
GCA_003627115.1	collected_by	Dr S. Levitan
GCA_003627115.1	collection_date	1951
GCA_003627115.1	geo_loc_name	Haiti: Cotes-de-Fer
GCA_003627115.1	host	Homo sapiens
GCA_003627115.1	host_disease	syphilis
GCA_003627115.1	isolation_source	lesions on the lower abdomen
GCA_003627115.1	lat_lon	18.190409 N 73.003120 W
GCA_003627115.1	host_age	11
GCA_003627115.1	host_sex	male
GCA_003627115.1	sub_species	pallidum
GCA_003952805.1	strain	CDC-1
GCA_003952805.1	collected_by	missing
GCA_003952805.1	collection_date	1980-11
GCA_003952805.1	geo_loc_name	Ghana: Densuso
GCA_003952805.1	host	Homo sapiens
GCA_003952805.1	host_disease	yaws
GCA_003952805.1	isolation_source	papillomatous lesion
GCA_003952805.1	lat_lon	missing
GCA_003952805.1	host_age	5 years
GCA_003952805.1	host_disease_outcome	yaws
GCA_003952805.1	host_sex	male
GCA_003952805.1	sub_species	pertenue
GCA_004194495.1	strain	Iraq B
GCA_004194495.1	collected_by	unknown
GCA_004194495.1	collection_date	1951
GCA_004194495.1	geo_loc_name	Iraq
GCA_004194495.1	host	Homo sapiens
GCA_004194495.1	host_disease	endemic syphilis
GCA_004194495.1	isolation_source	lesion
GCA_004194495.1	lat_lon	32.854535 N 42.9133 E
GCA_004194495.1	host_age	7 years
GCA_004194495.1	host_sex	female
GCA_004194495.1	sub_species	endemicum
GCA_005311045.1	strain	CW88
GCA_005311045.1	collected_by	missing
GCA_005311045.1	collection_date	2017
GCA_005311045.1	geo_loc_name	Czech Republic
GCA_005311045.1	host	Homo sapiens
GCA_005311045.1	host_disease	syphilis
GCA_005311045.1	isolation_source	genital smear
GCA_005311045.1	lat_lon	missing
GCA_005311045.1	sub_species	pallidum
GCA_005311065.1	strain	CW86
GCA_005311065.1	collected_by	missing
GCA_005311065.1	collection_date	2013
GCA_005311065.1	geo_loc_name	France
GCA_005311065.1	host	Homo sapiens
GCA_005311065.1	host_disease	syphilis
GCA_005311065.1	isolation_source	genital smear
GCA_005311065.1	lat_lon	missing
GCA_005311065.1	sub_species	pallidum
GCA_005311085.1	strain	CW83
GCA_005311085.1	collected_by	missing
GCA_005311085.1	collection_date	2015
GCA_005311085.1	geo_loc_name	Cuba
GCA_005311085.1	host	Homo sapiens
GCA_005311085.1	host_disease	syphilis
GCA_005311085.1	isolation_source	genital smear
GCA_005311085.1	lat_lon	missing
GCA_005311085.1	sub_species	pallidum
GCA_005311105.1	strain	CW82
GCA_005311105.1	collected_by	missing
GCA_005311105.1	collection_date	2016
GCA_005311105.1	geo_loc_name	Cuba
GCA_005311105.1	host	Homo sapiens
GCA_005311105.1	host_disease	syphilis
GCA_005311105.1	isolation_source	genital smear
GCA_005311105.1	lat_lon	missing
GCA_005311105.1	sub_species	pallidum
GCA_005311125.1	strain	CW65
GCA_005311125.1	collected_by	missing
GCA_005311125.1	collection_date	2014
GCA_005311125.1	geo_loc_name	Australia
GCA_005311125.1	host	Homo sapiens
GCA_005311125.1	host_disease	syphilis
GCA_005311125.1	isolation_source	anal smear
GCA_005311125.1	lat_lon	missing
GCA_005311125.1	sub_species	pallidum
GCA_005311145.1	strain	CW56
GCA_005311145.1	collected_by	missing
GCA_005311145.1	collection_date	2013
GCA_005311145.1	geo_loc_name	Cuba
GCA_005311145.1	host	Homo sapiens
GCA_005311145.1	host_disease	syphilis
GCA_005311145.1	isolation_source	genital smear
GCA_005311145.1	lat_lon	missing
GCA_005311145.1	sub_species	pallidum
GCA_005311165.1	strain	CW30
GCA_005311165.1	collected_by	missing
GCA_005311165.1	collection_date	2014
GCA_005311165.1	geo_loc_name	Czech Republic
GCA_005311165.1	host	Homo sapiens
GCA_005311165.1	host_disease	syphilis
GCA_005311165.1	isolation_source	genital smear
GCA_005311165.1	lat_lon	missing
GCA_005311165.1	sub_species	pallidum
GCA_005311185.1	strain	CW85
GCA_005311185.1	collected_by	missing
GCA_005311185.1	collection_date	2016
GCA_005311185.1	geo_loc_name	France
GCA_005311185.1	host	Homo sapiens
GCA_005311185.1	host_disease	syphilis
GCA_005311185.1	isolation_source	genital smear
GCA_005311185.1	lat_lon	missing
GCA_005311185.1	sub_species	pallidum
GCA_005311205.1	strain	CW84
GCA_005311205.1	collected_by	missing
GCA_005311205.1	collection_date	2015
GCA_005311205.1	geo_loc_name	France
GCA_005311205.1	host	Homo sapiens
GCA_005311205.1	host_disease	syphilis
GCA_005311205.1	isolation_source	genital smear
GCA_005311205.1	lat_lon	missing
GCA_005311205.1	sub_species	pallidum
GCA_005311445.1	strain	CW59
GCA_005311445.1	collected_by	missing
GCA_005311445.1	collection_date	2012
GCA_005311445.1	geo_loc_name	France
GCA_005311445.1	host	Homo sapiens
GCA_005311445.1	host_disease	syphilis
GCA_005311445.1	isolation_source	anal smear
GCA_005311445.1	lat_lon	missing
GCA_005311445.1	sub_species	pallidum
GCA_005341485.1	strain	CW87
GCA_005341485.1	collected_by	missing
GCA_005341485.1	collection_date	2016
GCA_005341485.1	geo_loc_name	France
GCA_005341485.1	host	Homo sapiens
GCA_005341485.1	host_disease	syphilis
GCA_005341485.1	isolation_source	bucal smear
GCA_005341485.1	lat_lon	missing
GCA_005341485.1	sub_species	pallidum
GCA_005408385.1	strain	Philadelphia 1
GCA_005408385.1	collected_by	CDC
GCA_005408385.1	collection_date	1988
GCA_005408385.1	geo_loc_name	USA: Philadelphia
GCA_005408385.1	host	Homo sapiens
GCA_005408385.1	host_disease	syphilis
GCA_005408385.1	isolation_source	unknown
GCA_005408385.1	lat_lon	unknown
GCA_005408385.1	sub_species	pallidum
GCA_005408405.1	strain	Grady
GCA_005408405.1	collected_by	CDC
GCA_005408405.1	collection_date	1980
GCA_005408405.1	geo_loc_name	USA: Atlanta
GCA_005408405.1	host	Homo sapiens
GCA_005408405.1	host_disease	syphilis
GCA_005408405.1	isolation_source	unknown
GCA_005408405.1	lat_lon	unknown
GCA_005408405.1	sub_species	pallidum
GCA_005885795.1	strain	X-4
GCA_005885795.1	collected_by	Zhongshan Hospital, Xiamen University
GCA_005885795.1	collection_date	2017-05-22
GCA_005885795.1	geo_loc_name	China: Xiamen
GCA_005885795.1	host	Homo sapiens
GCA_005885795.1	host_disease	Syphilis
GCA_005885795.1	isolation_source	missing
GCA_005885795.1	lat_lon	not applicable
GCA_005885795.1	culture_collection	not applicable
GCA_005885795.1	host_age	62
GCA_005885795.1	host_description	not collection
GCA_005885795.1	host_disease_outcome	not collection
GCA_005885795.1	host_disease_stage	primary syphilis
GCA_005885795.1	host_health_state	not collection
GCA_005885795.1	host_sex	male
GCA_005885795.1	host_subject_id	not collection
GCA_005885795.1	host_tissue_sampled	skin lesion
GCA_005885795.1	passage_history	not applicable
GCA_005885795.1	pathotype	not applicable
GCA_005885795.1	serotype	not applicable
GCA_005885795.1	serovar	not applicable
GCA_005885795.1	specimen_voucher	not applicable
GCA_005885795.1	subgroup	not applicable
GCA_005885795.1	subtype	not applicable
GCA_005885795.1	sub_species	pallidum
GCA_009017435.1	strain	UW-148B
GCA_009017435.1	collected_by	Christina Marra
GCA_009017435.1	collection_date	2003
GCA_009017435.1	geo_loc_name	USA: Washington
GCA_009017435.1	host	Homo sapiens
GCA_009017435.1	host_disease	syphilis
GCA_009017435.1	isolation_source	rabbit
GCA_009017435.1	lat_lon	47.6062 N 122.3321 W
GCA_009017475.1	strain	UW-148B2
GCA_009017475.1	collected_by	Christina Marra
GCA_009017475.1	collection_date	2009
GCA_009017475.1	geo_loc_name	USA: Washington
GCA_009017475.1	host	Homo sapiens
GCA_009017475.1	host_disease	syphilis
GCA_009017475.1	isolation_source	rabbit
GCA_009017475.1	lat_lon	47.6062 N 122.3321 W
GCA_015239315.1	strain	SMUTp_01
GCA_015239315.1	alternate_ID	01
GCA_015239315.1	collected_by	Dermatology hospital of Southern Medical University
GCA_015239315.1	collection_date	2018
GCA_015239315.1	geo_loc_name	China: Guangzhou
GCA_015239315.1	host	Homo sapiens
GCA_015239315.1	host_disease	Syphilis
GCA_015239315.1	isolation_source	chancre
GCA_015239315.1	lab_host	rabbit testicle
GCA_015239315.1	lat_lon	23.8 N 113.17 E
GCA_015239315.1	sub_species	pallidum
GCA_015239335.1	strain	SMUTp_02
GCA_015239335.1	alternate_ID	02
GCA_015239335.1	collected_by	Dermatology hospital of Southern Medical University
GCA_015239335.1	collection_date	2017
GCA_015239335.1	geo_loc_name	China: Guangzhou
GCA_015239335.1	host	Homo sapiens
GCA_015239335.1	host_disease	Syphilis
GCA_015239335.1	isolation_source	Rabbit testicles
GCA_015239335.1	lat_lon	23.8 N 113.17 E
GCA_015239335.1	sub_species	pallidum
GCA_015239355.1	strain	SMUTp_04
GCA_015239355.1	alternate_ID	04
GCA_015239355.1	collected_by	Dermatology hospital of Southern Medical University
GCA_015239355.1	collection_date	2018
GCA_015239355.1	geo_loc_name	China: Guangzhou
GCA_015239355.1	host	Homo sapiens
GCA_015239355.1	host_disease	Syphilis
GCA_015239355.1	isolation_source	Chancre
GCA_015239355.1	lat_lon	23.8 N 113.17 E
GCA_015239355.1	sub_species	pallidum
GCA_015239375.1	strain	SMUTp_08
GCA_015239375.1	alternate_ID	08
GCA_015239375.1	collected_by	Dermatology hospital of Southern Medical University
GCA_015239375.1	collection_date	2018
GCA_015239375.1	geo_loc_name	China: Guangzhou
GCA_015239375.1	host	Homo sapiens
GCA_015239375.1	host_disease	Syphilis
GCA_015239375.1	isolation_source	Chancre
GCA_015239375.1	lat_lon	23.8 N 113.17 E
GCA_015239375.1	sub_species	pallidum
GCA_015239395.1	strain	SMUTp_09
GCA_015239395.1	alternate_ID	09
GCA_015239395.1	collected_by	Dermatology hospital of Southern Medical University
GCA_015239395.1	collection_date	2018
GCA_015239395.1	geo_loc_name	China: Guangzhou
GCA_015239395.1	host	Homo sapiens
GCA_015239395.1	host_disease	Syphilis
GCA_015239395.1	isolation_source	Chancre
GCA_015239395.1	lat_lon	23.8 N 113.17 E
GCA_015239395.1	sub_species	pallidum
