ProteinID	Name	Organism
WP_013944908	CbiQ family ECF transporter T component [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014505625	J domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_013944807	MULTISPECIES: cytochrome c biogenesis protein CcdA [Treponema]	Treponema
WP_010881716	bactofilin family protein [Treponema pallidum]	Treponema pallidum
WP_010882268	1-deoxy-D-xylulose-5-phosphate synthase [Treponema pallidum]	Treponema pallidum
WP_010882048	MULTISPECIES: phosphatidate cytidylyltransferase [Treponema]	Treponema
WP_012460589	MULTISPECIES: cytoplasmic filament protein CfpA [Treponema]	Treponema
WP_010882187	Obg family GTPase CgtA [Treponema pallidum]	Treponema pallidum
WP_014505476	chemotaxis protein CheA [Treponema pallidum]	Treponema pallidum
WP_013945252	protein-glutamate methylesterase/protein-glutamine glutaminase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_012460582	CheR family methyltransferase [Treponema pallidum]	Treponema pallidum
WP_014505499	MULTISPECIES: chemotaxis protein CheW [Treponema]	Treponema
WP_010881813	MULTISPECIES: chemotaxis protein CheX [Treponema]	Treponema
WP_010881814	MULTISPECIES: response regulator [Treponema]	Treponema
WP_010882038	M15 family metallopeptidase [Treponema pallidum]	Treponema pallidum
WP_025267562	chromate transporter [Treponema pallidum]	Treponema pallidum
WP_014342479	ATP-dependent Clp protease ATP-binding subunit [Treponema pallidum]	Treponema pallidum
WP_010881956	ATP-dependent Clp protease proteolytic subunit [Treponema pallidum]	Treponema pallidum
WP_014342706	ATP-dependent Clp protease proteolytic subunit [Treponema pallidum]	Treponema pallidum
WP_010881957	ATP-dependent Clp protease ATP-binding subunit ClpX [Treponema pallidum]	Treponema pallidum
WP_010881790	(d)CMP kinase [Treponema pallidum]	Treponema pallidum
WP_010881732	pantetheine-phosphate adenylyltransferase [Treponema pallidum]	Treponema pallidum
WP_010881745	dephospho-CoA kinase [Treponema pallidum]	Treponema pallidum
WP_010881879	type III pantothenate kinase [Treponema pallidum]	Treponema pallidum
WP_010881739	HAD family hydrolase [Treponema pallidum]	Treponema pallidum
WP_010881723	deoxycytidylate deaminase [Treponema pallidum]	Treponema pallidum
WP_331488646	ComEC/Rec2 family competence protein [Treponema pallidum]	Treponema pallidum
WP_237260057	ComF family protein [Treponema pallidum]	Treponema pallidum
WP_010882184	LCP family protein [Treponema pallidum]	Treponema pallidum
WP_014342344	cyclic nucleotide-binding domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882060	cysteine desulfurase [Treponema pallidum]	Treponema pallidum
WP_010882102	MULTISPECIES: carbon storage regulator CsrA [Treponema]	Treponema
WP_014505444	S41 family peptidase [Treponema pallidum]	Treponema pallidum
WP_014342259	FAD binding domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342259	FAD binding domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881970	CvpA family protein [Treponema pallidum]	Treponema pallidum
WP_010881474	insulinase family protein [Treponema pallidum]	Treponema pallidum
WP_010881540	cysteine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_237260058	D-alanyl-D-alanine carboxypeptidase family protein [Treponema pallidum]	Treponema pallidum
WP_010882255	DNA adenine methylase [Treponema pallidum]	Treponema pallidum
WP_014342570	DEAD/DEAH box helicase [Treponema pallidum]	Treponema pallidum
WP_010882401	TRAP transporter substrate-binding protein DctP [Treponema pallidum]	Treponema pallidum
WP_014342665	TRAP transporter large permease subunit [Treponema pallidum]	Treponema pallidum
WP_235214028	DedA family protein [Treponema pallidum]	Treponema pallidum
WP_010882202	MULTISPECIES: peptide deformylase [Treponema]	Treponema
WP_014342474	S1C family serine protease [Treponema pallidum]	Treponema pallidum
WP_010881713	deoxyribose-phosphate aldolase [Treponema pallidum]	Treponema pallidum
WP_010882179	purine-nucleoside phosphorylase [Treponema pallidum]	Treponema pallidum
WP_010882134	ribosome biogenesis GTPase Der [Treponema pallidum]	Treponema pallidum
WP_014505666	diguanylate cyclase DgcA [Treponema pallidum]	Treponema pallidum
WP_010881545	MULTISPECIES: TraR/DksA family transcriptional regulator [Treponema]	Treponema
WP_014342489	MBOAT family O-acyltransferase [Treponema pallidum]	Treponema pallidum
WP_010881451	chromosomal replication initiator protein DnaA [Treponema pallidum]	Treponema pallidum
WP_010881507	replicative DNA helicase [Treponema pallidum]	Treponema pallidum
WP_010882114	DNA polymerase III subunit alpha [Treponema pallidum]	Treponema pallidum
WP_014342452	DNA primase [Treponema pallidum]	Treponema pallidum
WP_014342266	J domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881664	MULTISPECIES: molecular chaperone DnaK [Treponema]	Treponema
WP_010881452	DNA polymerase III subunit beta [Treponema pallidum]	Treponema pallidum
WP_010882088	exonuclease domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882449	DNA polymerase III subunit gamma/tau [Treponema pallidum]	Treponema pallidum
WP_010881841	DNA-processing protein DprA [Treponema pallidum]	Treponema pallidum
WP_010881943	MULTISPECIES: zinc ribbon domain-containing protein [Treponema]	Treponema
WP_010882424	tRNA dihydrouridine synthase DusB [Treponema pallidum]	Treponema pallidum
WP_010882328	MULTISPECIES: dUTP diphosphatase [Treponema]	Treponema
WP_013945233	MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate reductoisomerase [Treponema]	Treponema
WP_010882268	1-deoxy-D-xylulose-5-phosphate synthase [Treponema pallidum]	Treponema pallidum
WP_014342333	energy-coupling factor ABC transporter ATP-binding protein [Treponema pallidum]	Treponema pallidum
WP_014342702	sodium:calcium antiporter [Treponema pallidum]	Treponema pallidum
WP_010882015	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase [Treponema pallidum]	Treponema pallidum
WP_010881973	elongation factor P [Treponema pallidum]	Treponema pallidum
WP_010882261	MULTISPECIES: phosphopyruvate hydratase [Treponema]	Treponema
WP_235214104	M23 family metallopeptidase [Treponema pallidum]	Treponema pallidum
WP_010882484	EF-P lysine aminoacylase GenX [Treponema pallidum]	Treponema pallidum
WP_172841371	KamA family radical SAM protein [Treponema pallidum]	Treponema pallidum
WP_014342533	CDP-alcohol phosphatidyltransferase family protein [Treponema pallidum]	Treponema pallidum
WP_014342470	GTPase Era [Treponema pallidum]	Treponema pallidum
WP_050810524	AMP-dependent synthetase/ligase [Treponema pallidum]	Treponema pallidum
WP_010881603	acyl-CoA thioesterase [Treponema pallidum]	Treponema pallidum
WP_010882155	FapA family protein [Treponema pallidum]	Treponema pallidum
WP_010882139	5-formyltetrahydrofolate cyclo-ligase [Treponema pallidum]	Treponema pallidum
WP_010882107	class II fructose-bisphosphate aldolase [Treponema pallidum]	Treponema pallidum
WP_237260078	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_014342447	FecR family protein [Treponema pallidum]	Treponema pallidum
WP_014342415	signal recognition particle protein [Treponema pallidum]	Treponema pallidum
WP_014342260	sigma-54 interaction domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882306	FKBP-type peptidyl-prolyl cis-trans isomerase [Treponema pallidum]	Treponema pallidum
WP_010881526	polysaccharide biosynthesis protein [Treponema pallidum]	Treponema pallidum
WP_014342527	flagellar filament outer layer protein FlaA [Treponema pallidum]	Treponema pallidum
WP_010882237	MULTISPECIES: flagellin [Treponema]	Treponema
WP_010882311	MULTISPECIES: flagellin [Treponema]	Treponema
WP_010882313	flagellin [Treponema pallidum]	Treponema pallidum
WP_014342683	periplasmic flagellar collar protein FlcA [Treponema pallidum]	Treponema pallidum
WP_010882368	MULTISPECIES: flavodoxin [Treponema]	Treponema
WP_010881844	MULTISPECIES: flagellar basal body rod protein FlgB [Treponema]	Treponema
WP_013945054	MULTISPECIES: flagellar basal body rod protein FlgC [Treponema]	Treponema
WP_010882173	flagellar hook assembly protein FlgD [Treponema pallidum]	Treponema pallidum
WP_010882172	flagellar hook protein FlgE [Treponema pallidum]	Treponema pallidum
WP_010882405	flagellar basal-body rod protein FlgF [Treponema pallidum]	Treponema pallidum
WP_010882404	MULTISPECIES: flagellar basal-body rod protein FlgG [Treponema]	Treponema
WP_013945521	rod-binding protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_010882105	flagellar hook-associated protein FlgK [Treponema pallidum]	Treponema pallidum
WP_010882104	flagellar hook-associated protein 3 [Treponema pallidum]	Treponema pallidum
WP_010882104	flagellar hook-associated protein 3 [Treponema pallidum]	Treponema pallidum
WP_010882418	MULTISPECIES: flagellar biosynthesis anti-sigma factor FlgM [Treponema]	Treponema
WP_010882159	flagellar biosynthesis protein FlhA [Treponema pallidum]	Treponema pallidum
WP_013945319	MULTISPECIES: flagellar biosynthesis protein FlhB [Treponema]	Treponema
WP_010882158	flagellar biosynthesis protein FlhF [Treponema pallidum]	Treponema pallidum
WP_010882157	MULTISPECIES: MinD/ParA family protein [Treponema]	Treponema
WP_014342626	flagellar filament capping protein FliD [Treponema pallidum]	Treponema pallidum
WP_010881846	flagellar hook-basal body complex protein FliE [Treponema pallidum]	Treponema pallidum
WP_010881847	flagellar basal-body MS-ring/collar protein FliF [Treponema pallidum]	Treponema pallidum
WP_010881848	flagellar motor switch protein FliG [Treponema pallidum]	Treponema pallidum
WP_010881849	flagellar assembly protein FliH [Treponema pallidum]	Treponema pallidum
WP_010881850	flagellar protein export ATPase FliI [Treponema pallidum]	Treponema pallidum
WP_010881851	MULTISPECIES: flagellar export protein FliJ [Treponema]	Treponema
WP_014342552	flagellar hook-length control protein FliK [Treponema pallidum]	Treponema pallidum
WP_010882167	MULTISPECIES: flagellar basal body-associated protein FliL [Treponema]	Treponema
WP_012460587	flagellar motor switch protein FliM [Treponema pallidum]	Treponema pallidum
WP_010882165	flagellar motor switch protein FliN [Treponema pallidum]	Treponema pallidum
WP_014505585	FliO/MopB family protein [Treponema pallidum]	Treponema pallidum
WP_010882163	flagellar type III secretion system pore protein FliP [Treponema pallidum]	Treponema pallidum
WP_010882161	flagellar biosynthetic protein FliR [Treponema pallidum]	Treponema pallidum
WP_010882161	flagellar biosynthetic protein FliR [Treponema pallidum]	Treponema pallidum
WP_010882386	MULTISPECIES: flagellar export chaperone FliS [Treponema]	Treponema
WP_237260059	peptidoglycan bridge formation glycyltransferase FemA/FemB family protein [Treponema pallidum]	Treponema pallidum
WP_010882201	methionyl-tRNA formyltransferase [Treponema pallidum]	Treponema pallidum
WP_010881788	folylpolyglutamate synthase/dihydrofolate synthase family protein [Treponema pallidum]	Treponema pallidum
WP_010882177	bifunctional 5,10-methylenetetrahydrofolate dehydrogenase/5,10-methenyltetrahydrofolate cyclohydrolase [Treponema pallidum]	Treponema pallidum
WP_010882050	MULTISPECIES: ribosome recycling factor [Treponema]	Treponema
WP_013945531	FTR1 family iron permease [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_012460545	cell division protein FtsA [Treponema pallidum]	Treponema pallidum
WP_010881628	septum formation initiator family protein [Treponema pallidum]	Treponema pallidum
WP_014342566	ATP-dependent zinc metalloprotease FtsH [Treponema pallidum]	Treponema pallidum
WP_010882205	penicillin-binding protein [Treponema pallidum]	Treponema pallidum
WP_010882443	DNA translocase FtsK [Treponema pallidum]	Treponema pallidum
WP_014505483	cell division protein FtsL [Treponema pallidum]	Treponema pallidum
WP_014505451	SPOR domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881836	cell division protein FtsQ/DivIB [Treponema pallidum]	Treponema pallidum
WP_012460544	putative lipid II flippase FtsW [Treponema pallidum]	Treponema pallidum
WP_010882024	signal recognition particle-docking protein FtsY [Treponema pallidum]	Treponema pallidum
WP_010881838	MULTISPECIES: cell division protein FtsZ [Treponema]	Treponema
WP_010882212	MULTISPECIES: elongation factor G [Treponema]	Treponema
WP_010881866	galactokinase [Treponema pallidum]	Treponema pallidum
WP_010882288	type I glyceraldehyde-3-phosphate dehydrogenase [Treponema pallidum]	Treponema pallidum
WP_014342695	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA [Treponema pallidum]	Treponema pallidum
WP_010882465	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB [Treponema pallidum]	Treponema pallidum
WP_014505682	MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Treponema]	Treponema
WP_014342312	GGDEF domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_237250300	GldG family protein [Treponema pallidum]	Treponema pallidum
WP_014342620	glutamine--fructose-6-phosphate transaminase (isomerizing) [Treponema pallidum]	Treponema pallidum
WP_014342644	nucleotidyltransferase family protein [Treponema pallidum]	Treponema pallidum
WP_010882426	MULTISPECIES: rhomboid family intramembrane serine protease [Treponema]	Treponema
WP_235214078	glycerophosphodiester phosphodiesterase [Treponema pallidum]	Treponema pallidum
WP_014342555	NADPH-dependent glutamate synthase [Treponema pallidum]	Treponema pallidum
WP_014342482	dicarboxylate/amino acid:cation symporter [Treponema pallidum]	Treponema pallidum
WP_010882118	glutamate--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_010882117	glycine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_010881779	decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase [Treponema pallidum]	Treponema pallidum
WP_010881615	MULTISPECIES: 2,3-diphosphoglycerate-dependent phosphoglycerate mutase [Treponema]	Treponema
WP_010882453	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase [Treponema pallidum]	Treponema pallidum
WP_013944737	transcription elongation factor GreA [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342692	co-chaperone GroES [Treponema pallidum]	Treponema pallidum
WP_010881479	chaperonin GroEL [Treponema pallidum]	Treponema pallidum
WP_010882208	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_235214021	CDP-alcohol phosphatidyltransferase family protein [Treponema pallidum]	Treponema pallidum
WP_014342653	dicarboxylate/amino acid:cation symporter [Treponema pallidum]	Treponema pallidum
WP_014342375	CPBP family glutamic-type intramembrane protease [Treponema pallidum]	Treponema pallidum
WP_014505460	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_012460576	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882026	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_010882027	ABC transporter ATP-binding protein [Treponema pallidum]	Treponema pallidum
WP_172841374	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342635	PD-(D/E)XK nuclease family protein [Treponema pallidum]	Treponema pallidum
WP_010882045	CpXC domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881524	carbohydrate ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_010881722	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882226	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010882123	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881604	1-acyl-sn-glycerol-3-phosphate acyltransferase [Treponema pallidum]	Treponema pallidum
WP_010882458	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342339	GerMN domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342645	PEGA domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882151	LysM peptidoglycan-binding domain-containing M23 family metallopeptidase [Treponema pallidum]	Treponema pallidum
WP_010882121	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342360	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_012460557	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881519	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_014342662	TraB/GumN family protein [Treponema pallidum]	Treponema pallidum
WP_012460551	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342526	MULTISPECIES: flagellar filament outer layer protein FlaA [Treponema]	Treponema
WP_013945278	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_012460591	efflux RND transporter permease subunit [Treponema pallidum]	Treponema pallidum
WP_010881952	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014505655	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_245522184	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014505481	flagellar basal body-associated protein FliL [Treponema pallidum]	Treponema pallidum
WP_014342554	TP0733 family outer membrane beta-barrel protein [Treponema pallidum]	Treponema pallidum
WP_010882444	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881905	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_012460516	xanthine dehydrogenase family protein molybdopterin-binding subunit [Treponema pallidum]	Treponema pallidum
WP_010881823	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_237250221	single-stranded DNA-binding protein [Treponema pallidum]	Treponema pallidum
WP_014342364	major outer sheath N-terminal domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881929	MULTISPECIES: DUF2062 domain-containing protein [Treponema]	Treponema
WP_014342330	leucine-rich repeat domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881666	PP2C family protein-serine/threonine phosphatase [Treponema pallidum]	Treponema pallidum
WP_010881597	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881909	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_014342434	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_237249910	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010882054	HEAT repeat domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342517	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342518	methyl-accepting chemotaxis protein [Treponema pallidum]	Treponema pallidum
WP_014342441	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_014342381	DUF2715 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342298	alpha-amylase/4-alpha-glucanotransferase domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882209	HD-GYP domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_013945483	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010882192	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342488	DUF459 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881879	type III pantothenate kinase [Treponema pallidum]	Treponema pallidum
WP_010881807	DUF4912 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342669	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_235214055	glycogen-binding domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881466	MULTISPECIES: tetratricopeptide repeat protein [Treponema]	Treponema
WP_237250226	DUF2715 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342289	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882106	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342448	P83/100 family protein [Treponema pallidum]	Treponema pallidum
WP_014342450	methyl-accepting chemotaxis protein [Treponema pallidum]	Treponema pallidum
WP_014342326	molecular chaperone DnaJ [Treponema pallidum]	Treponema pallidum
WP_010882155	FapA family protein [Treponema pallidum]	Treponema pallidum
WP_014342629	LptF/LptG family permease [Treponema pallidum]	Treponema pallidum
WP_010882198	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_002695065	hypothetical protein [Treponema phagedenis]	Treponema phagedenis
WP_014342496	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342313	motility associated factor glycosyltransferase family protein [Treponema pallidum]	Treponema pallidum
WP_010882344	MATE family efflux transporter [Treponema pallidum]	Treponema pallidum
WP_014342529	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342614	SpoIIE family protein phosphatase [Treponema pallidum]	Treponema pallidum
WP_010882297	MULTISPECIES: P-loop NTPase [Treponema]	Treponema
WP_014342591	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342508	major outer sheath N-terminal domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342667	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882406	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_172841373	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882072	MULTISPECIES: exonuclease SbcCD subunit D [Treponema]	Treponema
WP_014342601	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882420	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342500	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882071	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_013945245	transglycosylase SLT domain-containing protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_013945439	UPF0164 family protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_237260093	fibronectin type III domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342473	endonuclease/exonuclease/phosphatase family protein [Treponema pallidum]	Treponema pallidum
WP_014342242	methyl-accepting chemotaxis protein [Treponema pallidum]	Treponema pallidum
WP_013944936	MULTISPECIES: Crp/Fnr family transcriptional regulator [Treponema]	Treponema
WP_010881898	elongation factor G [Treponema pallidum]	Treponema pallidum
WP_013945025	CheR family methyltransferase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_237250218	LamG-like jellyroll fold domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010881914	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010882345	alpha/beta hydrolase [Treponema pallidum]	Treponema pallidum
WP_013945158	sensor histidine kinase [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_331488657	TIGR03545 family protein [Treponema pallidum]	Treponema pallidum
WP_237260094	PQQ-binding-like beta-propeller repeat protein [Treponema pallidum]	Treponema pallidum
WP_014342689	alanine/glycine:cation symporter family protein [Treponema pallidum]	Treponema pallidum
WP_014342238	DUF1361 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_039487386	DUF4954 family protein [Treponema pallidum]	Treponema pallidum
WP_014342567	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342598	DUF2225 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342314	6-hydroxymethylpterin diphosphokinase MptE-like protein [Treponema pallidum]	Treponema pallidum
WP_010882153	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_012460594	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_010882276	GerMN domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882068	tetratricopeptide repeat protein [Treponema pallidum]	Treponema pallidum
WP_010881860	PUR family DNA/RNA-binding protein [Treponema pallidum]	Treponema pallidum
WP_237260108	TatD family hydrolase [Treponema pallidum]	Treponema pallidum
WP_014342491	FMN-binding protein [Treponema pallidum]	Treponema pallidum
WP_014342520	phospho-sugar mutase [Treponema pallidum]	Treponema pallidum
WP_235214131	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_237249912	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_010881679	RluA family pseudouridine synthase [Treponema pallidum]	Treponema pallidum
WP_013944871	hypothetical protein [Treponema paraluiscuniculi]	Treponema paraluiscuniculi
WP_014342501	DUF2147 domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_014342687	cyclic nucleotide-binding domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882092	serine--tRNA ligase [Treponema pallidum]	Treponema pallidum
WP_237249936	Trk system potassium transporter TrkA [Treponema pallidum]	Treponema pallidum
WP_010882260	MULTISPECIES: hypothetical protein [Treponema]	Treponema
WP_010882042	polynucleotide adenylyltransferase PcnB [Treponema pallidum]	Treponema pallidum
WP_014342619	UPF0164 family protein [Treponema pallidum]	Treponema pallidum
WP_014342267	ATP-dependent helicase [Treponema pallidum]	Treponema pallidum
WP_010881460	major outer sheath C-terminal domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882097	MULTISPECIES: ABC transporter ATP-binding protein [Treponema]	Treponema
WP_010882370	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_010881625	hypothetical protein [Treponema pallidum]	Treponema pallidum
WP_014342655	transporter associated domain-containing protein [Treponema pallidum]	Treponema pallidum
WP_010882378	alpha/beta hydrolase [Treponema pallidum]	Treponema pallidum
WP_025267561	MULTISPECIES: chromate transporter [Treponema]	Treponema
WP_014342524	ABC transporter permease [Treponema pallidum]	Treponema pallidum
WP_010882246	ATP-dependent Clp protease ATP-binding subunit ClpA [Treponema pallidum]	Treponema pallidum
WP_014342229	DUF3798 domain-containing protein [Treponema pallidum]	Treponema pallidum
