Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
ERR3684460	111	23	8	8	7	4	1181011	1140428	1118402	1118402	1101621	976436	57	598824	1163547	1139457	52.74	52.78	598824	598824	43401	43401	357775.4	365339.3	1	1	6	6	0	0	0	2	0	0	0	41 + 1 part	36796	98.764	1.001	0.00	6.75	11.46	598551	1125557	598551	598551	43401	43401	357447.1	365004.2	1	1	6	6
ERR3684461	213	157	74	32	3	1	1135545	1109122	879874	571882	139030	54687	182	54687	1127422	1139457	52.75	52.78	10063	10063	3003	2936	14647.1	14492.4	32	32	109	113	0	0	0	0	0	0	0	5 + 0 part	3399	98.373	1.003	0.00	29.81	12.72	54687	1123890	10063	10063	3003	2936	14642.0	14487.4	32	32	109	113
ERR3684462	448	289	73	8	0	0	1124531	1041536	528640	88869	0	0	375	13920	1105729	1139457	52.71	52.78	4728	4663	1274	1140	5079.5	4929.2	79	82	250	275	0	0	0	2	0	0	0	0 + 0 part	0	96.580	1.004	0.00	36.75	11.86	13920	1104659	4728	4663	1274	1140	5068.1	4918.1	79	82	250	275
ERR3684463	724	365	39	4	0	0	1157595	979833	274319	50217	0	0	539	16407	1105501	1139457	52.68	52.78	2743	2728	962	795	3676.0	3566.4	116	122	381	416	4	4	23544	0	0	0	0	39 + 1 part	33148	93.750	1.004	0.00	37.97	13.71	12190	1071857	2743	2720	870	722	3538.7	3433.3	117	124	388	427
ERR3684464	385	260	68	19	0	0	1146933	1080909	613145	276940	0	0	321	24582	1126902	1139457	52.74	52.78	5510	5466	1567	1500	7217.1	7137.6	59	60	207	215	0	0	0	1	0	0	0	16 + 1 part	14782	97.154	1.004	0.00	49.14	13.59	24582	1111171	5510	5466	1539	1482	7196.6	7117.4	59	60	208	216
ERR3684465	316	222	78	23	1	0	1130788	1087238	731155	336320	25242	0	265	25242	1117281	1139457	52.71	52.78	7038	7008	1902	1802	8294.0	8132.6	50	51	168	179	1	1	18734	1	0	0	0	2 + 0 part	1430	97.573	1.003	0.00	60.10	14.53	25242	1114883	7038	6971	1893	1795	8173.5	8014.4	50	52	170	181
ERR3684466	80	37	30	26	16	6	1136721	1125303	1105989	1076010	907502	519720	44	197044	1130258	1139457	52.76	52.78	46920	46624	15395	15395	69576.4	69014.7	7	8	22	22	1	1	2832	1	0	0	0	3 + 0 part	2306	98.855	1.001	0.00	39.47	14.01	197044	1127445	46920	46624	15395	15395	69569.3	69007.6	7	8	22	22
ERR3684467	323	141	68	38	7	0	1175900	1121055	920870	710939	262158	0	171	49818	1142705	1139457	52.72	52.78	13006	13006	3239	3283	16883.4	16931.6	26	26	95	94	0	0	0	2	0	0	0	21 + 1 part	19620	98.312	1.002	0.00	31.64	12.92	49818	1121993	13006	13006	3239	3283	16857.1	16905.1	26	26	95	94
ERR3684468	573	352	37	0	0	0	1096926	965325	248424	0	0	0	502	9992	1073406	1139457	52.67	52.78	2875	2733	997	718	3515.0	3311.3	114	125	353	423	1	1	8240	0	0	0	0	2 + 0 part	1051	93.699	1.004	0.00	43.75	13.62	9992	1071978	2875	2723	992	715	3492.5	3290.1	114	126	355	424
ERR3684469	144	75	48	33	16	4	1144082	1123372	1052608	939833	689619	284366	87	97049	1131790	1139457	52.74	52.78	31615	31615	7372	6997	35682.2	35442.2	12	12	43	44	1	1	7372	2	0	0	0	7 + 0 part	5372	98.635	1.002	0.00	34.75	12.62	97049	1125244	31615	31615	6997	6900	35639.1	35399.3	12	12	43	44
ERR3684470	893	175	75	35	3	1	1276958	1127485	874095	610627	124403	67530	236	67530	1169740	1139457	52.75	52.78	10225	10520	2290	2862	14284.1	14663.7	33	31	125	115	1	1	17994	3	0	0	0	53 + 2 part	46058	98.200	1.003	0.00	34.77	12.84	67530	1121525	10225	10349	2092	2862	14128.2	14503.7	33	32	127	116
ERR3684471	151	68	51	37	14	3	1152127	1123694	1082311	966131	591316	229170	86	99340	1136755	1139457	52.75	52.78	25338	25338	8936	8936	33822.1	33741.9	14	14	44	44	1	1	16067	1	0	0	0	12 + 0 part	8956	98.701	1.002	0.00	36.95	13.41	99340	1125988	25338	25338	8936	8936	33720.2	33640.2	14	14	44	44
ERR3684472	104	44	33	25	17	6	1147962	1124690	1101173	1037362	898193	512667	62	150138	1137524	1139457	52.75	52.78	43353	43353	12254	12254	61017.7	60914.2	8	8	24	24	1	1	17210	1	0	0	0	13 + 0 part	9676	98.804	1.002	0.00	30.61	14.29	150138	1127053	43353	43353	11633	11633	60905.2	60801.9	8	8	25	25
ERR3684473	136	29	14	12	9	6	1181479	1139339	1116172	1101834	1059172	934458	56	231521	1158835	1139457	52.74	52.78	150080	150080	36786	36786	143537.1	145978.1	3	3	9	9	0	0	0	1	0	0	0	32 + 1 part	31491	98.810	1.001	0.00	35.97	13.68	231521	1126031	150078	150078	36786	36786	143403.9	145842.7	3	3	9	9
ERR3684474	33	17	12	12	10	4	1129809	1123172	1114174	1114174	1081058	847547	22	536513	1127283	1139457	52.75	52.78	137668	137668	36107	35311	294375.6	291230.4	2	2	8	9	0	0	0	0	0	0	0	0 + 0 part	0	98.896	1.001	0.00	36.11	14.11	536426	1127195	137668	137668	36107	35311	294292.7	291148.5	2	2	8	9
ERR3684475	158	79	56	41	16	2	1149577	1123848	1057615	954486	564015	106022	94	53697	1135005	1139457	52.74	52.78	21575	21575	6761	6257	24983.8	24886.2	17	17	50	51	0	0	0	1	0	0	0	10 + 0 part	8763	98.607	1.002	0.00	31.02	12.89	53697	1125142	21575	21575	6675	6257	24963.7	24866.1	17	17	50	51
ERR3684476	95	43	34	26	17	5	1143298	1123628	1101098	1047380	905161	415448	56	115231	1133589	1139457	52.74	52.78	45446	45446	12292	12253	53055.4	52782.2	9	9	24	25	0	0	0	1	0	0	0	8 + 0 part	5822	98.804	1.002	0.00	30.96	14.20	115231	1127112	45446	45446	12292	12253	53045.9	52772.7	9	9	24	25
ERR3684477	40	14	11	11	9	5	1131704	1121501	1112662	1112662	1082005	923174	21	303774	1127303	1139457	52.75	52.78	299623	299623	36052	36052	203715.4	201542.4	2	2	8	8	1	1	303774	1	0	0	0	1 + 0 part	681	98.788	1.001	0.00	35.26	14.12	299551	1125943	299203	299203	36052	36052	201235.1	199088.6	2	2	8	8
ERR3684478	123	79	49	33	16	4	1134476	1121202	1053141	938428	657951	229217	85	67170	1126237	1139457	52.76	52.78	30718	30718	6435	6345	31208.2	30846.1	13	13	43	44	0	0	0	1	0	0	0	0 + 0 part	0	98.619	1.002	0.00	32.70	13.24	67170	1125531	30718	30718	6435	5565	31189.3	30827.4	13	13	43	45
ERR3684479	67	26	18	16	14	8	1145310	1128295	1104640	1090742	1057884	879986	39	165185	1137432	1139457	52.74	52.78	113058	113058	28367	28367	97309.1	97136.2	5	5	13	13	2	2	63858	1	0	0	0	8 + 0 part	5902	99.211	1.001	0.00	31.74	14.32	165099	1130891	113058	113058	28367	27772	96812.4	96640.4	5	5	13	14
ERR3684480	33	11	8	8	7	4	1130732	1123113	1116691	1116691	1099910	975833	15	598916	1126466	1139457	52.75	52.78	598916	598916	44564	43401	369445.7	365233.7	1	1	5	6	0	0	0	2	0	0	0	0 + 0 part	0	98.779	1.001	0.00	7.02	11.90	598646	1125698	598646	598646	44564	43401	369144.1	364935.5	1	1	5	6
ERR3684481	2241	377	8	1	0	0	1261872	739874	60710	12196	0	0	751	12196	1005032	1139457	52.53	52.78	1559	1373	678	-	2208.8	1948.2	187	233	579	-	2	2	6390	1	0	0	0	58 + 1 part	51450	83.255	1.004	0.00	41.40	13.45	12196	951702	1520	1327	596	-	2141.6	1889.0	190	237	606	-
ERR3684482	225	35	18	18	15	9	1192211	1138493	1111714	1111714	1070158	863696	67	149742	1159881	1139457	52.80	52.78	94338	94374	26153	26153	83987.5	85492.9	6	5	14	14	0	0	0	1	0	0	0	35 + 2 part	31681	98.866	1.001	0.00	15.08	11.98	149742	1127238	94338	94374	26153	26153	83938.9	85443.4	6	5	14	14
ERR3684483	74	41	29	25	17	6	1136422	1124256	1098356	1072873	958064	548618	49	146262	1130476	1139457	52.75	52.78	48143	48143	15255	15255	66530.7	66006.4	7	7	21	21	0	0	0	1	0	0	0	2 + 0 part	2700	98.819	1.001	0.00	32.83	13.84	146262	1127104	48143	48143	15255	15255	66522.3	65997.9	7	7	21	21
ERR3684484	303	217	88	22	0	0	1136245	1095899	732604	279127	0	0	254	21280	1123942	1139457	52.75	52.78	6280	6230	2238	2073	7242.1	7143.5	58	60	166	172	1	1	7616	2	0	0	0	3 + 1 part	3261	97.900	1.004	0.00	37.24	14.11	21280	1119834	6230	6204	2200	2052	7198.5	7100.5	59	60	168	174
ERR3684485	437	51	33	25	12	6	1211579	1123239	1075967	1016765	821804	612995	89	149967	1151360	1139457	52.71	52.78	56659	56659	7962	9341	70143.6	70876.4	6	6	28	26	1	1	124988	1	0	0	0	35 + 0 part	26860	98.575	1.000	0.00	7.57	12.29	149967	1123208	56659	56659	7962	9075	69041.3	69762.6	6	6	28	27
ERR3684486	306	187	78	31	3	0	1150070	1101415	797458	460580	84748	0	228	30058	1131552	1139457	52.76	52.78	8235	8196	2427	2381	9914.6	9845.8	43	44	138	141	0	0	0	1	0	0	0	13 + 1 part	9382	98.127	1.004	0.00	36.81	13.55	30058	1121903	8235	8196	2427	2381	9898.0	9829.3	43	44	138	141
ERR3684487	346	151	76	31	6	1	1211320	1129021	939091	620769	257156	120495	220	120495	1176571	1139457	52.72	52.78	10874	11403	2743	3671	22807.0	23549.9	28	27	108	97	0	0	0	3	0	0	0	64 + 2 part	53366	98.266	1.002	0.00	38.42	13.19	120495	1121921	10874	11403	2743	3656	22747.7	23488.6	28	27	108	98
ERR3684488	817	382	20	0	0	0	1132090	906205	130465	0	0	0	617	8878	1075168	1139457	52.60	52.78	2346	2228	802	637	2772.9	2616.5	146	160	450	530	2	2	9547	0	0	0	0	34 + 0 part	26565	91.539	1.005	0.00	42.10	12.12	8878	1047561	2337	2213	761	577	2724.4	2570.7	147	161	457	544
ERR3684489	41	10	7	7	6	4	1134081	1123108	1116818	1116818	1100012	1011999	15	598933	1127045	1139457	52.74	52.78	598933	598933	44588	44588	380240.3	376098.3	1	1	5	5	0	0	0	1	0	0	0	2 + 0 part	1274	98.733	1.001	0.00	13.60	11.55	598846	1125170	598846	598846	44588	44588	380132.4	375991.6	1	1	5	5
ERR3684490	198	43	26	22	15	6	1188742	1132600	1102503	1075625	961348	635370	80	136055	1158402	1139457	52.79	52.78	73473	73473	14371	15627	73039.2	74253.5	6	6	20	19	1	1	17589	1	0	0	0	36 + 0 part	30341	98.675	1.001	0.00	30.76	13.78	136051	1124984	73387	73387	14270	14371	72634.6	73842.3	6	6	20	19
ERR3684491	365	88	54	33	11	2	1221559	1139612	1068544	909212	523215	214209	139	115895	1174492	1139457	52.68	52.78	23788	23944	5179	6976	36536.3	37659.6	14	13	52	47	0	0	0	1	0	0	0	54 + 0 part	45717	98.765	1.002	0.00	40.11	14.11	115895	1126961	23788	23944	5179	6976	36490.5	37612.5	14	13	52	47
ERR3684492	153	87	55	39	13	2	1147748	1122771	1049463	934979	484427	117457	104	59108	1135645	1139457	52.74	52.78	22164	22164	6367	6367	25302.3	25217.7	17	17	51	51	0	0	0	1	0	0	0	9 + 0 part	7600	98.752	1.002	0.00	31.58	13.75	59022	1127415	22164	22164	6367	6310	25274.7	25190.1	17	17	51	52
ERR3684493	155	101	62	43	6	2	1146952	1121645	1007752	880705	287092	135543	124	78823	1138062	1139457	52.74	52.78	17337	17337	4711	4711	23620.1	23591.2	20	20	66	66	0	0	0	1	0	0	0	13 + 0 part	8919	98.684	1.003	0.00	29.72	12.24	78823	1127187	17337	17337	4711	4711	23592.4	23563.5	20	20	66	66
ERR3684494	297	199	89	30	1	0	1147413	1102415	824121	399980	25323	0	240	25323	1132609	1139457	52.71	52.78	7869	7721	2136	2085	8509.8	8458.7	49	50	148	151	0	0	0	0	0	0	0	11 + 0 part	9442	98.239	1.004	0.00	32.51	12.47	25323	1122895	7869	7721	2136	2085	8500.3	8449.2	49	50	148	151
ERR3684495	51	19	14	13	10	5	1139632	1125126	1116211	1110650	1061112	864371	32	388201	1134953	1139457	52.73	52.78	184560	184560	36135	36135	196958.8	196180.3	2	2	9	9	0	0	0	0	0	0	0	9 + 0 part	7458	98.883	1.001	0.00	13.13	11.80	388126	1127420	184560	184560	36135	36135	196901.4	196123.1	2	2	9	9
ERR3684496	482	316	53	7	0	0	1111135	1009939	380120	84988	0	0	428	20075	1091787	1139457	52.71	52.78	3763	3565	1188	881	4508.4	4319.8	92	99	291	333	0	0	0	0	0	0	0	3 + 0 part	1983	95.265	1.004	0.00	37.37	12.85	20075	1089205	3749	3565	1183	878	4501.7	4313.4	92	99	292	334
ERR3684497	132	26	8	8	7	4	1182054	1141084	1115704	1115704	1099528	975456	53	598778	1159898	1139457	52.72	52.78	598778	598778	43401	43401	358583.5	365016.2	1	1	6	6	0	0	0	1	0	0	0	34 + 0 part	31638	98.870	1.001	0.00	6.57	12.07	598493	1126914	598493	598493	43401	43401	358259.6	364686.5	1	1	6	6
ERR3684498	118	44	37	31	18	7	1151350	1124769	1111158	1065009	855023	456673	62	92103	1138125	1139457	52.74	52.78	40561	40561	11084	11084	43993.8	43942.4	10	10	28	28	0	0	0	1	0	0	0	15 + 0 part	12163	98.708	1.001	0.00	6.31	12.08	92103	1125433	40561	40561	11084	11084	43967.6	43916.2	10	10	28	28
ERR3684499	45	14	10	10	9	6	1135002	1123169	1113450	1113450	1099907	975890	22	299516	1129135	1139457	52.74	52.78	149789	149789	44564	43401	169963.4	168423.8	3	3	7	8	0	0	0	1	0	0	0	4 + 0 part	2594	98.761	1.001	0.00	7.46	11.90	299512	1125851	149782	149782	44564	43401	169908.3	168369.2	3	3	7	8
ERR3684500	44	15	11	10	9	6	1133960	1121996	1111129	1105458	1089281	975295	23	299609	1128261	1139457	52.75	52.78	299162	299162	44592	43401	202096.4	200110.6	2	2	7	8	0	0	0	1	0	0	0	2 + 0 part	1176	98.840	1.001	0.00	5.68	11.36	299321	1126712	299162	299162	44592	43401	201942.0	199957.8	2	2	7	8
ERR3684501	341	28	10	10	9	5	1229439	1142106	1115651	1115651	1099485	944684	78	299596	1176369	1139457	52.81	52.78	299161	299161	36052	43401	193735.8	200011.7	2	2	8	7	0	0	0	0	0	0	0	55 + 1 part	47453	98.880	1.001	0.00	7.45	11.97	299469	1127470	299161	299161	36052	43401	193630.4	199902.9	2	2	8	7
ERR3684502	56	14	10	10	8	5	1140320	1123678	1115978	1115978	1075347	951330	25	450094	1131818	1139457	52.74	52.78	172799	172799	43401	43401	246889.2	245234.1	2	2	7	7	0	0	0	1	0	0	0	7 + 0 part	5612	98.751	1.001	0.00	10.57	12.17	450028	1125637	172799	172799	43401	43401	246817.3	245162.6	2	2	7	7
ERR3684503	966	363	1	0	0	0	973264	601218	5226	0	0	0	777	5226	894475	1139457	52.69	52.78	1294	1053	641	-	1529.1	1200.3	228	333	621	-	3	3	7472	0	0	0	0	6 + 0 part	3953	77.780	1.004	0.00	41.72	11.47	5226	889317	1290	1047	635	-	1517.1	1190.9	230	335	625	-
ERR3684504	98	33	27	22	14	6	1147995	1125258	1113823	1077240	933257	629453	48	151094	1135477	1139457	52.75	52.78	77100	77100	17690	17690	76177.4	75911.3	5	5	19	19	0	0	0	0	0	0	0	10 + 0 part	7168	98.881	1.001	0.00	6.21	11.79	151094	1127833	77100	77100	17690	17690	76076.0	75810.3	5	5	19	19
ERR3684505	890	386	9	0	0	0	1069669	782795	53545	0	0	0	701	8294	1010308	1139457	52.73	52.78	1770	1568	726	-	2164.7	1919.4	180	219	534	-	1	1	5164	1	0	0	0	14 + 1 part	11299	87.250	1.004	0.00	43.29	13.13	8294	997938	1760	1552	715	-	2139.3	1896.8	182	221	540	-
ERR3684506	986	408	8	0	0	0	1097701	782267	52292	0	0	0	744	9016	1021786	1139457	52.66	52.78	1629	1497	703	-	2043.3	1832.3	198	236	571	-	2	2	3295	0	0	0	0	34 + 0 part	25501	86.980	1.005	0.00	46.71	12.86	9016	995465	1629	1488	661	-	2018.6	1810.2	198	236	580	-
ERR3684507	34	10	7	7	6	4	1131002	1122035	1115840	1115840	1099674	1011750	15	598750	1126540	1139457	52.75	52.78	598750	598750	44523	44523	380304.7	375993.5	1	1	5	5	0	0	0	1	0	0	0	0 + 0 part	0	98.829	1.001	0.00	6.93	11.81	598480	1126270	598480	598480	44523	44523	380017.7	375709.8	1	1	5	5
ERR3684508	1503	360	7	0	0	0	1137831	648596	43398	0	0	0	796	8977	957568	1139457	52.53	52.78	1348	1127	647	-	1829.2	1537.2	212	286	628	-	1	1	801	1	0	0	0	73 + 2 part	67038	77.630	1.004	0.00	41.67	14.42	8977	887857	1292	1065	548	-	1747.4	1468.4	215	293	670	-
ERR3684509	44	14	11	11	9	8	1141756	1129639	1125863	1125863	1085860	1049695	23	172979	1136651	1139457	52.74	52.78	149288	149288	95042	95042	128225.0	127909.3	4	4	8	8	0	0	0	0	0	0	0	6 + 0 part	4952	99.268	1.000	0.00	7.25	12.29	172979	1131044	149070	149070	95042	95042	128088.8	127773.3	4	4	8	8
ERR3684510	239	34	14	14	10	7	1219248	1144590	1111636	1111636	1041643	917625	85	299646	1179855	1139457	52.68	52.78	146009	146009	19626	36024	141414.2	146427.9	3	3	12	10	0	0	0	1	0	0	0	55 + 4 part	50773	98.822	1.001	0.00	9.58	12.33	299646	1127065	146009	146009	19626	36024	141365.7	146377.6	3	3	12	10
ERR3684511	61	13	7	7	6	4	1149378	1126852	1116080	1116080	1099890	1011850	31	598796	1139984	1139457	52.73	52.78	598796	598796	44615	44615	375893.9	376067.8	1	1	5	5	0	0	0	1	0	0	0	16 + 0 part	12847	98.878	1.001	0.00	7.01	11.63	598526	1126857	598526	598526	44615	44615	375599.3	375773.1	1	1	5	5
ERR3684512	189	32	8	8	7	5	1217013	1152727	1115859	1115859	1099681	1011716	87	299586	1189994	1139457	52.75	52.78	299162	299162	43401	44564	209438.9	218727.9	2	2	7	6	0	0	0	1	0	0	0	66 + 3 part	62332	98.782	1.001	0.00	8.52	11.81	299316	1126112	299162	299162	43401	44564	209245.2	218525.6	2	2	7	6
ERR3684513	1001	128	0	0	0	0	661354	165756	0	0	0	0	635	2973	509043	1139457	52.49	52.78	808	-	554	-	921.3	411.6	228	-	539	-	1	1	2706	0	0	0	0	10 + 0 part	8026	43.861	1.002	0.00	53.74	11.39	2973	500525	798	-	545	-	897.7	401.0	231	-	545	-
ERR3684514	814	71	0	0	0	0	513602	90714	0	0	0	0	507	3523	381694	1139457	52.61	52.78	747	-	538	-	860.8	288.4	188	-	434	-	4	3	4274	0	0	0	0	5 + 0 part	4316	33.032	1.002	0.00	64.19	14.59	3523	376989	729	-	529	-	838.7	280.9	190	-	439	-
ERR3684515	60	14	8	8	7	4	1144362	1126265	1115700	1115700	1099522	975477	26	598757	1135085	1139457	52.75	52.78	598757	598757	43401	43401	366385.2	364979.4	1	1	6	6	0	0	0	1	0	0	0	10 + 0 part	8829	98.785	1.001	0.00	5.77	11.81	598481	1125980	598481	598481	43401	43401	366085.9	364681.3	1	1	6	6
ERR3684516	479	319	58	8	0	0	1120287	1035028	436044	103186	0	0	405	20501	1098789	1139457	52.74	52.78	3983	3730	1282	1050	4937.0	4760.8	84	89	279	310	1	1	7577	0	0	0	0	3 + 0 part	2065	95.844	1.004	0.00	35.85	13.04	20501	1096382	3983	3730	1279	1043	4927.1	4751.2	84	89	280	311
ERR3684517	78	15	8	8	7	4	1154511	1126998	1111557	1111557	1099313	975297	39	598771	1143317	1139457	52.74	52.78	598771	598771	43401	43401	363627.4	364859.2	1	1	6	6	0	0	0	1	0	0	0	23 + 0 part	17464	98.724	1.001	0.00	12.44	12.00	598693	1125273	598693	598693	43401	43401	363528.4	364759.8	1	1	6	6
ERR3684518	991	157	1	0	0	0	703055	218253	7711	0	0	0	660	7711	563348	1139457	52.56	52.78	860	-	556	-	1087.2	537.5	226	-	554	-	3	3	12686	0	0	0	0	2 + 0 part	1390	49.126	1.002	0.00	51.54	12.84	7074	560711	860	-	553	-	1057.8	523.0	228	-	558	-
ERR3684519	85	19	7	7	6	4	1164411	1134353	1116343	1116343	1099527	1011555	42	598765	1150172	1139457	52.74	52.78	598765	598765	44547	44547	372452.2	375954.6	1	1	5	5	0	0	0	2	0	0	0	27 + 1 part	23679	98.763	1.001	0.00	6.40	12.44	598490	1125720	598490	598490	44547	44547	372131.4	375630.8	1	1	5	5
ERR3684520	434	44	29	24	14	9	1230781	1134598	1106630	1073171	886353	718060	89	143618	1163095	1139457	52.78	52.78	52807	52807	14294	17422	64749.6	66092.8	7	7	22	21	0	0	0	2	0	0	0	44 + 1 part	33715	98.784	1.001	0.00	8.08	11.81	143618	1126611	52684	52684	14294	17414	64698.0	66040.2	7	7	22	21
ERR3684521	324	34	11	11	9	6	1247875	1152383	1115734	1115734	1078163	954100	100	299610	1195748	1139457	52.70	52.78	141700	141700	36091	43425	155763.1	163458.0	3	3	9	8	0	0	0	0	0	0	0	74 + 3 part	65236	98.906	1.001	0.00	21.64	12.33	299322	1127671	141700	141700	36091	43425	155560.3	163245.2	3	3	9	8
ERR3684522	80	19	13	12	10	6	1148468	1124396	1111928	1104297	1066256	910801	35	227782	1135707	1139457	52.74	52.78	173002	173002	35937	35937	140540.7	140078.2	3	3	9	9	1	1	84067	0	0	0	0	13 + 0 part	9068	98.818	1.001	0.00	5.77	11.98	227782	1126629	173002	173002	35937	31477	138992.9	138535.5	3	3	9	10
ERR3684523	140	34	23	21	14	6	1172293	1131738	1111509	1093481	964980	669301	66	179538	1153579	1139457	52.74	52.78	89442	89442	21797	22664	83872.7	84912.2	5	5	18	17	0	0	0	1	0	0	0	30 + 2 part	25734	98.794	1.001	0.00	7.54	11.45	179538	1126766	89442	89442	21796	22664	83820.0	84858.8	5	5	18	17
ERR3684524	58	15	10	10	9	6	1143701	1125815	1116746	1116746	1099939	975739	27	296136	1135092	1139457	52.74	52.78	152760	152760	43425	43425	168263.8	167619.3	3	3	8	8	0	0	0	2	0	0	0	10 + 0 part	8357	98.785	1.001	0.00	7.02	12.17	295855	1125952	152760	152760	43425	43425	168094.9	167450.9	3	3	8	8
ERR3684525	142	51	34	27	16	7	1154384	1125213	1085381	1029677	866184	529007	63	149822	1134450	1139457	52.75	52.78	44459	44459	10336	10336	55895.5	55649.9	8	8	27	27	0	0	0	1	0	0	0	10 + 0 part	7919	98.650	1.002	0.00	6.48	12.08	149822	1126025	44459	44459	10336	10336	55885.5	55639.9	8	8	27	27
