Bin.Id	Marker lineage	genomes	markers	marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
ERR3684531	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684532	f__Spirochaetaceae (UID2512)	56	235	124	18	205	12	0	0	0	91.88	6.04	75.00
ERR3684533	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684534	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684535	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684536	f__Spirochaetaceae (UID2512)	56	235	124	16	212	7	0	0	0	90.54	1.65	42.86
ERR3684537	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684538	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.27	100.00
ERR3684539	f__Spirochaetaceae (UID2512)	56	235	124	4	230	1	0	0	0	97.55	0.81	0.00
ERR3684540	f__Spirochaetaceae (UID2512)	56	235	124	0	233	1	1	0	0	100.00	0.81	100.00
ERR3684541	f__Spirochaetaceae (UID2512)	56	235	124	70	152	13	0	0	0	70.53	3.83	38.46
ERR3684542	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.81	100.00
ERR3684543	f__Spirochaetaceae (UID2512)	56	235	124	14	213	8	0	0	0	93.54	3.13	50.00
ERR3684544	f__Spirochaetaceae (UID2512)	56	235	124	5	228	2	0	0	0	98.09	0.83	50.00
ERR3684545	f__Spirochaetaceae (UID2512)	56	235	124	49	174	12	0	0	0	76.78	4.89	25.00
ERR3684546	f__Spirochaetaceae (UID2512)	56	235	124	92	136	7	0	0	0	60.15	2.32	0.00
ERR3684547	f__Spirochaetaceae (UID2512)	56	235	124	0	232	3	0	0	0	100.00	0.95	33.33
ERR3684548	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684549	f__Spirochaetaceae (UID2512)	56	235	124	10	213	12	0	0	0	94.60	3.64	50.00
ERR3684550	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684551	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684552	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684553	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684554	f__Spirochaetaceae (UID2512)	56	235	124	130	100	5	0	0	0	42.00	1.02	0.00
ERR3684555	f__Spirochaetaceae (UID2512)	56	235	124	2	231	2	0	0	0	99.17	0.21	0.00
ERR3684556	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684557	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684558	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684559	f__Spirochaetaceae (UID2512)	56	235	124	63	158	14	0	0	0	67.67	5.88	21.43
ERR3684560	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684561	f__Spirochaetaceae (UID2512)	56	235	124	19	196	20	0	0	0	89.33	6.58	25.00
ERR3684562	f__Spirochaetaceae (UID2512)	56	235	124	113	111	11	0	0	0	45.18	4.29	45.45
ERR3684563	f__Spirochaetaceae (UID2512)	56	235	124	61	163	11	0	0	0	70.46	3.15	27.27
ERR3684564	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684565	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684566	f__Spirochaetaceae (UID2512)	56	235	124	2	231	2	0	0	0	98.79	1.21	50.00
ERR3684567	f__Spirochaetaceae (UID2512)	56	235	124	3	225	7	0	0	0	98.36	2.94	85.71
ERR3684568	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684569	f__Spirochaetaceae (UID2512)	56	235	124	0	233	2	0	0	0	100.00	0.56	50.00
ERR3684570	f__Spirochaetaceae (UID2512)	56	235	124	36	183	16	0	0	0	79.92	5.24	18.75
ERR3684571	f__Spirochaetaceae (UID2512)	56	235	124	4	229	2	0	0	0	98.31	0.92	50.00
ERR3684572	f__Spirochaetaceae (UID2512)	56	235	124	1	229	5	0	0	0	99.97	1.49	40.00
ERR3684573	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684574	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684575	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.19	0.81	100.00
ERR3684576	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684577	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684578	f__Spirochaetaceae (UID2512)	56	235	124	27	199	9	0	0	0	85.58	4.89	33.33
ERR3684579	f__Spirochaetaceae (UID2512)	56	235	124	140	90	5	0	0	0	36.67	1.67	40.00
ERR3684580	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.81	0.00
ERR3684581	f__Spirochaetaceae (UID2512)	56	235	124	3	227	4	1	0	0	99.52	1.66	85.71
ERR3684582	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684583	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684584	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.19	0.00	0.00
ERR3684585	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.19	0.16	0.00
ERR3684586	f__Spirochaetaceae (UID2512)	56	235	124	164	69	2	0	0	0	30.53	0.45	0.00
ERR3684587	f__Spirochaetaceae (UID2512)	56	235	124	2	227	5	1	0	0	99.17	2.43	62.50
ERR3684588	f__Spirochaetaceae (UID2512)	56	235	124	1	230	4	0	0	0	99.19	1.88	100.00
ERR3684589	f__Spirochaetaceae (UID2512)	56	235	124	11	213	11	0	0	0	94.73	3.42	45.45
ERR3684590	f__Spirochaetaceae (UID2512)	56	235	124	21	201	13	0	0	0	87.52	5.30	38.46
ERR3684591	f__Spirochaetaceae (UID2512)	56	235	124	38	188	9	0	0	0	82.29	1.94	0.00
ERR3684592	f__Spirochaetaceae (UID2512)	56	235	124	6	222	7	0	0	0	96.34	2.76	28.57
ERR3684593	f__Spirochaetaceae (UID2512)	56	235	124	15	207	13	0	0	0	92.33	4.43	38.46
ERR3684594	f__Spirochaetaceae (UID2512)	56	235	124	11	212	12	0	0	0	94.51	6.19	25.00
ERR3684595	f__Spirochaetaceae (UID2512)	56	235	124	44	179	12	0	0	0	76.70	3.18	16.67
ERR3684596	f__Spirochaetaceae (UID2512)	56	235	124	0	228	6	1	0	0	100.00	5.27	55.56
ERR3684597	f__Spirochaetaceae (UID2512)	56	235	124	1	231	3	0	0	0	99.60	1.37	33.33
ERR3684598	k__Bacteria (UID203)	5449	99	54	79	20	0	0	0	0	22.51	0.00	0.00
ERR3684599	f__Spirochaetaceae (UID2512)	56	235	124	0	232	3	0	0	0	100.00	1.37	66.67
ERR3684600	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684601	f__Spirochaetaceae (UID2512)	56	235	124	11	213	11	0	0	0	92.20	4.27	27.27
ERR3684602	f__Spirochaetaceae (UID2512)	56	235	124	9	219	7	0	0	0	94.68	2.12	14.29
ERR3684603	k__Bacteria (UID203)	5449	99	54	93	6	0	0	0	0	3.45	0.00	0.00
ERR3684604	k__Bacteria (UID203)	5449	99	54	89	10	0	0	0	0	6.94	0.00	0.00
ERR3684605	k__Bacteria (UID203)	5449	99	54	88	11	0	0	0	0	6.73	0.00	0.00
ERR3684606	f__Spirochaetaceae (UID2512)	56	235	124	31	192	12	0	0	0	83.62	6.69	16.67
ERR3684607	k__Bacteria (UID203)	5449	99	54	93	6	0	0	0	0	8.50	0.00	0.00
ERR3684608	k__Bacteria (UID203)	5449	99	54	94	5	0	0	0	0	1.60	0.00	0.00
ERR3684609	f__Spirochaetaceae (UID2512)	56	235	124	0	230	4	1	0	0	100.00	3.63	57.14
ERR3684610	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684611	f__Spirochaetaceae (UID2512)	56	235	124	5	221	9	0	0	0	97.29	3.14	33.33
ERR3684612	f__Spirochaetaceae (UID2512)	56	235	124	36	185	14	0	0	0	79.13	4.84	42.86
ERR3684613	f__Spirochaetaceae (UID2512)	56	235	124	0	233	2	0	0	0	100.00	0.81	100.00
ERR3684614	f__Spirochaetaceae (UID2512)	56	235	124	57	169	9	0	0	0	71.26	4.53	22.22
ERR3684615	f__Spirochaetaceae (UID2512)	56	235	124	0	234	0	1	0	0	100.00	1.61	33.33
ERR3684616	f__Spirochaetaceae (UID2512)	56	235	124	2	233	0	0	0	0	99.17	0.00	0.00
ERR3684617	f__Spirochaetaceae (UID2512)	56	235	124	54	169	12	0	0	0	72.64	6.35	25.00
ERR3684618	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.12	100.00
ERR3684619	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684620	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684621	f__Spirochaetaceae (UID2512)	56	235	124	113	118	4	0	0	0	49.33	1.26	25.00
ERR3684622	f__Spirochaetaceae (UID2512)	56	235	124	5	228	2	0	0	0	97.15	0.19	50.00
ERR3684623	f__Spirochaetaceae (UID2512)	56	235	124	1	232	2	0	0	0	99.19	1.61	100.00
ERR3684624	f__Spirochaetaceae (UID2512)	56	235	124	3	224	8	0	0	0	97.98	3.39	0.00
ERR3684625	f__Spirochaetaceae (UID2512)	56	235	124	138	92	5	0	0	0	33.13	1.09	20.00
ERR3684626	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.81	0.00
ERR3684627	f__Spirochaetaceae (UID2512)	56	235	124	128	102	5	0	0	0	41.37	0.55	0.00
ERR3684628	f__Spirochaetaceae (UID2512)	56	235	124	2	230	3	0	0	0	99.17	1.21	66.67
ERR3684629	f__Spirochaetaceae (UID2512)	56	235	124	30	189	16	0	0	0	84.01	5.18	37.50
ERR3684630	f__Spirochaetaceae (UID2512)	56	235	124	7	219	9	0	0	0	95.30	2.42	11.11
ERR3684631	f__Spirochaetaceae (UID2512)	56	235	124	1	228	6	0	0	0	99.19	1.06	16.67
ERR3684632	f__Spirochaetaceae (UID2512)	56	235	124	13	214	8	0	0	0	94.59	3.35	25.00
ERR3684633	f__Spirochaetaceae (UID2512)	56	235	124	37	181	16	1	0	0	80.71	6.95	15.79
ERR3684634	f__Spirochaetaceae (UID2512)	56	235	124	12	211	12	0	0	0	93.96	5.03	33.33
ERR3684635	f__Spirochaetaceae (UID2512)	56	235	124	15	214	6	0	0	0	92.29	2.71	16.67
ERR3684636	f__Spirochaetaceae (UID2512)	56	235	124	130	99	6	0	0	0	41.24	4.03	16.67
ERR3684637	f__Spirochaetaceae (UID2512)	56	235	124	35	188	12	0	0	0	82.57	5.36	41.67
ERR3684638	f__Spirochaetaceae (UID2512)	56	235	124	25	199	11	0	0	0	88.11	3.54	18.18
ERR3684639	f__Spirochaetaceae (UID2512)	56	235	124	7	223	5	0	0	0	97.64	1.85	40.00
ERR3684640	f__Spirochaetaceae (UID2512)	56	235	124	158	73	4	0	0	0	27.01	1.32	25.00
ERR3684641	f__Spirochaetaceae (UID2512)	56	235	124	3	228	4	0	0	0	98.76	2.04	25.00
ERR3684642	f__Spirochaetaceae (UID2512)	56	235	124	4	228	3	0	0	0	98.63	0.50	100.00
ERR3684643	f__Spirochaetaceae (UID2512)	56	235	124	2	231	2	0	0	0	98.39	1.08	100.00
ERR3684644	f__Spirochaetaceae (UID2512)	56	235	124	3	227	5	0	0	0	99.14	2.33	40.00
ERR3684645	f__Spirochaetaceae (UID2512)	56	235	124	44	173	18	0	0	0	78.60	8.22	22.22
ERR3684646	f__Spirochaetaceae (UID2512)	56	235	124	16	210	9	0	0	0	90.16	3.33	44.44
ERR3684647	f__Spirochaetaceae (UID2512)	56	235	124	0	235	0	0	0	0	100.00	0.00	0.00
ERR3684648	k__Bacteria (UID203)	5449	99	54	83	15	1	0	0	0	16.16	0.17	0.00
ERR3684649	f__Spirochaetaceae (UID2512)	56	235	124	114	113	8	0	0	0	44.34	2.21	25.00
ERR3684650	f__Spirochaetaceae (UID2512)	56	235	124	28	196	11	0	0	0	84.13	4.01	27.27
ERR3684651	k__Bacteria (UID203)	5449	99	54	93	6	0	0	0	0	3.65	0.00	0.00
ERR3684652	f__Spirochaetaceae (UID2512)	56	235	124	1	232	2	0	0	0	99.19	1.21	50.00
ERR3684653	f__Spirochaetaceae (UID2512)	56	235	124	3	224	8	0	0	0	98.76	4.10	62.50
ERR3684654	f__Spirochaetaceae (UID2512)	56	235	124	1	234	0	0	0	0	99.60	0.00	0.00
ERR3684655	f__Spirochaetaceae (UID2512)	56	235	124	7	218	10	0	0	0	95.94	2.35	20.00
ERR3684656	f__Spirochaetaceae (UID2512)	56	235	124	5	219	11	0	0	0	96.75	5.34	45.45
ERR3684657	f__Spirochaetaceae (UID2512)	56	235	124	3	227	5	0	0	0	99.15	1.53	60.00
ERR3684658	f__Spirochaetaceae (UID2512)	56	235	124	6	224	4	1	0	0	96.34	3.25	71.43
ERR3684659	f__Spirochaetaceae (UID2512)	56	235	124	3	226	6	0	0	0	97.58	1.26	50.00
ERR3684660	f__Spirochaetaceae (UID2512)	56	235	124	6	227	2	0	0	0	96.51	1.61	0.00
ERR3684661	f__Spirochaetaceae (UID2512)	56	235	124	2	231	2	0	0	0	99.17	0.97	50.00
ERR3684662	f__Spirochaetaceae (UID2512)	56	235	124	159	73	3	0	0	0	25.27	1.77	0.00
ERR3684663	f__Spirochaetaceae (UID2512)	56	235	124	176	59	0	0	0	0	17.40	0.00	0.00
ERR3684664	f__Spirochaetaceae (UID2512)	56	235	124	72	147	16	0	0	0	70.52	5.98	25.00
ERR3684665	f__Spirochaetaceae (UID2512)	56	235	124	9	222	4	0	0	0	93.93	1.18	25.00
ERR3684666	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.27	0.00
ERR3684667	f__Spirochaetaceae (UID2512)	56	235	124	10	207	18	0	0	0	94.66	6.65	38.89
ERR3684668	f__Spirochaetaceae (UID2512)	56	235	124	139	94	2	0	0	0	34.98	0.85	50.00
ERR3684669	f__Spirochaetaceae (UID2512)	56	235	124	3	229	3	0	0	0	99.30	0.65	33.33
ERR3684670	f__Spirochaetaceae (UID2512)	56	235	124	47	170	18	0	0	0	75.53	7.48	55.56
ERR3684671	f__Spirochaetaceae (UID2512)	56	235	124	10	216	9	0	0	0	94.19	4.15	22.22
ERR3684672	f__Spirochaetaceae (UID2512)	56	235	124	28	192	15	0	0	0	81.26	5.84	20.00
ERR3684673	f__Spirochaetaceae (UID2512)	56	235	124	8	223	3	1	0	0	95.63	0.77	83.33
ERR3684674	f__Spirochaetaceae (UID2512)	56	235	124	63	167	5	0	0	0	69.26	1.67	40.00
ERR3684675	f__Spirochaetaceae (UID2512)	56	235	124	31	189	15	0	0	0	84.41	6.42	33.33
ERR3684676	f__Spirochaetaceae (UID2512)	56	235	124	14	205	16	0	0	0	92.86	6.68	43.75
ERR3684677	f__Spirochaetaceae (UID2512)	56	235	124	56	170	8	1	0	0	74.11	2.97	18.18
ERR3684678	f__Spirochaetaceae (UID2512)	56	235	124	108	120	7	0	0	0	51.33	2.74	0.00
ERR3684679	f__Spirochaetaceae (UID2512)	56	235	124	76	151	8	0	0	0	68.06	3.84	37.50
ERR3684680	f__Spirochaetaceae (UID2512)	56	235	124	19	207	9	0	0	0	89.75	3.17	11.11
ERR3684681	f__Spirochaetaceae (UID2512)	56	235	124	12	215	7	1	0	0	93.25	2.19	50.00
ERR3684682	f__Spirochaetaceae (UID2512)	56	235	124	32	192	11	0	0	0	85.13	3.90	27.27
ERR3684683	f__Spirochaetaceae (UID2512)	56	235	124	117	114	4	0	0	0	43.92	1.66	0.00
ERR3684684	f__Spirochaetaceae (UID2512)	56	235	124	34	190	11	0	0	0	83.59	3.20	18.18
ERR3684685	f__Spirochaetaceae (UID2512)	56	235	124	24	196	15	0	0	0	87.79	6.87	33.33
ERR3684686	f__Spirochaetaceae (UID2512)	56	235	124	2	229	4	0	0	0	98.39	1.66	75.00
ERR3684687	f__Spirochaetaceae (UID2512)	56	235	124	9	222	4	0	0	0	94.93	2.28	50.00
ERR3684688	f__Spirochaetaceae (UID2512)	56	235	124	181	54	0	0	0	0	18.88	0.00	0.00
ERR3684689	f__Spirochaetaceae (UID2512)	56	235	124	148	87	0	0	0	0	32.24	0.00	0.00
ERR3684690	f__Spirochaetaceae (UID2512)	56	235	124	193	42	0	0	0	0	14.92	0.00	0.00
ERR3684691	k__Bacteria (UID203)	5449	99	54	85	14	0	0	0	0	17.62	0.00	0.00
ERR3684692	f__Spirochaetaceae (UID2512)	56	235	124	165	66	4	0	0	0	30.18	1.30	0.00
ERR3684693	k__Bacteria (UID203)	5449	99	54	80	19	0	0	0	0	17.85	0.00	0.00
ERR3684694	f__Spirochaetaceae (UID2512)	56	235	124	3	227	5	0	0	0	98.74	2.16	20.00
ERR3684695	f__Spirochaetaceae (UID2512)	56	235	124	0	234	1	0	0	0	100.00	0.27	0.00
ERR3684696	f__Spirochaetaceae (UID2512)	56	235	124	3	231	1	0	0	0	98.76	0.12	100.00
ERR3684697	f__Spirochaetaceae (UID2512)	56	235	124	7	215	13	0	0	0	96.32	6.53	38.46
ERR3684698	f__Spirochaetaceae (UID2512)	56	235	124	8	219	8	0	0	0	94.33	2.66	50.00
ERR3684699	f__Spirochaetaceae (UID2512)	56	235	124	56	168	11	0	0	0	74.03	4.45	18.18
ERR3684700	f__Spirochaetaceae (UID2512)	56	235	124	1	233	1	0	0	0	99.97	0.81	100.00
ERR3684701	f__Spirochaetaceae (UID2512)	56	235	124	126	103	6	0	0	0	45.66	1.56	16.67
ERR3684702	f__Spirochaetaceae (UID2512)	56	235	124	2	228	5	0	0	0	98.39	1.15	80.00
