Sample	ST	TP0136	TP0548	TP0705	mismatches	uncertainty	depth	maxMAF
ERR3684501	1	1	3	1	TP0136_1/trun	-	46.2143333333	0.106382978723
ERR3684500	2	1	1	1	TP0136_1/trun	-	46.199	0.0909090909091
ERR3684502	13	6	3	1	0	-	44.8416666667	0.193548387097
ERR4853530	6	3	2	3	0	-	46.1343333333	0
ERR4853533	2	1	1	1	TP0136_1/trun	-	43.1013333333	0
ERR4853532	NF*	1	73*	10	TP0136_1/trun;TP0548_73/1snp	-	46.1966666667	0.0909090909091
ERR4853535	1	1	3	1	TP0136_1/trun	-	46.1016666667	0.106382978723
ERR4853534	2	1	1	1	TP0136_1/trun	-	46.142	0.0869565217391
ERR4853537	56	19	3	1	0	-	46.1826666667	0.193548387097
ERR4853539	NF	-	2	3	0	-	45.188	0
ERR4899217	26	9	7	3	0	-	46.1423333333	0
ERR4899197	NF	6	1	1	0	-	45.317	0
ERR4899215	NF	28	24	10	0	-	43.614	0
ERR4899213	NF	28	24	10	0	-	45.2113333333	0
ERR5207003	13	6	3	1	0	-	45.317	0
ERR4899211	NF*?	-	49*?	10	TP0548_49/12snp78holes	TP0548_49/edge0.0	36.1585	0
ERR3684725	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR3684489	1	1	3	1	TP0136_1/trun	-	46.214	0.106382978723
ERR7123590	NF*	-	-	10*	TP0705_10/8snp	-	44.095	0
ERR4853631	28	1	17	9	TP0136_1/trun	-	46.1423333333	0.0869565217391
ERR3684485	NF	6	1	1	0	-	45.2643333333	0
ERR3684706	NF	6	1	1	0	-	45.317	0
ERR3684480	13	6	3	1	0	-	45.3163333333	0
ERR3684647	13	6	3	1	0	-	45.2106666667	0
ERR3684482	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR4853620	NF	1	73	3	TP0136_1/trun	-	46.1986666667	0.0909090909091
ERR5210577	11	1	1	3	TP0136_1/trun	-	46.199	0.0909090909091
ERR7123591	NF*	-	-	10*	TP0705_10/8snp	-	43.887	0
ERR4993357	20	10	14	10	0	-	43.3856666667	0
ERR4853610	1	1	3	1	TP0136_1/trun	-	46.1543333333	0.106382978723
ERR4853553	28	1	17	9	TP0136_1/trun	-	46.154	0.106382978723
ERR3684531	3	1	1	8	TP0136_1/trun	-	46.2146666667	0.106382978723
ERR3684533	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR3684534	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR3684535	13	6	3	1	0	-	45.2626666667	0
ERR3684537	75	1	55	1	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR3684538	1	1	3	1	TP0136_1/trun	-	46.2146666667	0.106382978723
ERR3684539	2	1	1	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR4853572	NF*	28	14*	10	TP0548_14/1snp	-	45.1576666667	0
ERR3684552	2	1	1	1	TP0136_1/trun	-	46.2143333333	0.106382978723
ERR3684553	1	1	3	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR3684550	1	1	3	1	TP0136_1/trun	-	46.13	0.0851063829787
ERR3684551	1	1	3	1	TP0136_1/trun	-	46.1623333333	0.106382978723
ERR3684556	2	1	1	1	TP0136_1/trun	-	46.162	0.106382978723
ERR3684557	1*	1	3*	1	TP0136_1/trun;TP0548_3/1snp	-	46.1513333333	0.106382978723
ERR3684555	NF	1	-	1	TP0136_1/trun	-	46.3935	0.106382978723
ERR4899204	NF*	6	17*	9	TP0548_17/1snp	-	45.2623333333	0
ERR3684558	1	1	3	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR4899206	6	3	2	3	0	-	46.1633333333	0
ERR4899201	3*	1	1*	8	TP0136_1/trun;TP0548_1/1snp	-	46.0893333333	0.0869565217391
ERR4853617	NF*?	-	49*?	10	TP0548_49/12snp78holes	TP0548_49/edge0.0	36.274	0
ERR4899203	3	1	1	8	TP0136_1/trun	-	46.1466666667	0.0909090909091
ERR4899202	13	6	3	1	0	-	42.2313333333	0
ERR3684493	6*?	3	2*?	3	TP0548_2/4holes	TP0548_2/edge0.0	44.52	0
ERR3684492	6	3	2	3	0	-	46.2163333333	0
ERR3684491	6	3	2	3	0	-	43.451	0
ERR3684497	1	1	3	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR4853573	NF	28	16	3	0	-	45.2646666667	0
ERR3684495	1	1	3	1	TP0136_1/trun	-	46.2146666667	0.106382978723
ERR4853584	1	1	3	1	TP0136_1/trun	-	46.1463333333	0.0909090909091
ERR4853585	1	1	3	1	TP0136_1/trun	-	46.1983333333	0.0909090909091
ERR3684499	1	1	3	1	TP0136_1/trun	-	46.1983333333	0.0909090909091
ERR4853587	13	6	3	1	0	-	45.2643333333	0
ERR4853580	13	6	3	1	0	-	43.3933333333	0.173913043478
ERR3684654	13*	6	3*	1	TP0548_3/1snp	-	40.858	0
ERR4853583	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR4899236	NF	1	73	3	TP0136_1/trun	-	46.1536666667	0.106382978723
ERR5210584	21	1	13	10	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR5206990	NF	6	1	3	0	-	43.4456666667	0.0322580645161
ERR3684526	13	6	3	1	0	-	40.797	0
ERR3684525	13	6	3	1	0	-	45.3166666667	0
ERR3684524	13	6	3	1	0	-	45.2626666667	0
ERR3684523	1	1	3	1	TP0136_1/trun	-	46.142	0.0869565217391
ERR3684522	28	1	17	9	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR3684521	1*	1	3*	1	TP0136_1/trun;TP0548_3/1snp	-	46.1013333333	0.106382978723
ERR3684520	64*?	1	47*?	1	TP0136_1/trun;TP0548_47/87holes	TP0548_47/edge0.0	44.2556666667	0.0869565217391
ERR3684528	13	6	3	1	0	-	45.317	0
ERR4899230	NF	6	1	1	0	-	45.317	0
ERR3684540	2	1	1	1	TP0136_1/trun	-	46.09	0.0869565217391
ERR4853588	1	1	3	1	TP0136_1/trun	-	46.1466666667	0.0909090909091
ERR3684542	14	1	8	1	TP0136_1/trun	-	46.1163333333	0.0869565217391
ERR4993352	1	1	3	1	TP0136_1/trun	-	46.2146666667	0.106382978723
ERR3684544	1	1	3	1	TP0136_1/trun	-	46.142	0.0869565217391
ERR3684547	13	6	3	1	0	-	45.2626666667	0
ERR4993359	2	1	1	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR4045378	1	1	3	1	TP0136_1/trun	-	44.741	0.0869565217391
ERR3684548	1	1	3	1	TP0136_1/trun	-	46.2143333333	0.106382978723
ERR4993354	6	3	2	3	0	-	43.4233333333	0
ERR4993355	61	1	3	3	TP0136_1/trun	-	46.0896666667	0.0869565217391
ERR4853614	1	1	3	1	TP0136_1/trun	-	46.1983333333	0.0909090909091
ERR4853615	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR4993350	3	1	1	8	TP0136_1/trun	-	46.1986666667	0.0909090909091
ERR3684700	24	6	1	8	0	-	45.263	0
ERR4853593	1	1	3	1	TP0136_1/trun	-	46.142	0.0869565217391
ERR4853566	6	3	2	3	0	-	43.4233333333	0
ERR4853590	1	1	3	1	TP0136_1/trun	-	46.1983333333	0.0909090909091
ERR4853597	1	1	3	1	TP0136_1/trun	-	46.1983333333	0.0909090909091
ERR3684669	NF	-	3	1	0	-	45.1855	0
ERR4853567	NF*	-	-	10*	TP0705_10/8snp	-	44.095	0
ERR5210568	11	1	1	3	TP0136_1/trun	-	46.1983333333	0.0909090909091
ERR5210569	1	1	3	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR3684666	NF	6	1	9	0	-	45.2626666667	0
ERR4853598	13	6	3	1	0	-	45.3163333333	0
ERR3684661	13	6	3	1	0	-	45.3163333333	0
ERR4853589	1	1	3	1	TP0136_1/trun	-	46.199	0.0909090909091
ERR4993353	2	1	1	1	TP0136_1/trun	-	46.1466666667	0.0909090909091
ERR5210581	13	6	3	1	0	-	45.263	0
ERR5207018	3	1	1	8	TP0136_1/trun	-	46.214	0.106382978723
ERR4853592	1	1	3	1	TP0136_1/trun	-	46.1826666667	0.0851063829787
ERR5206984	1	1	3	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR4853665	NF	6	17	9	0	-	45.2626666667	0
ERR5207034	NF*	6*	-	1	TP0136_6/20holes	-	37.7935	0
SRR13721290	20	10	14	10	0	-	43.4053333333	0
ERR4853560	1	1	3	1	TP0136_1/trun	-	46.1986666667	0.0909090909091
ERR4853545	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR4853596	116	1	77	1	TP0136_1/trun	-	46.1826666667	0.0851063829787
ERR3684574	13	6	3	1	0	-	45.3166666667	0
ERR3684575	NF	6	1	1	0	-	45.2643333333	0
ERR3684576	11	1	1	3	TP0136_1/trun	-	46.182	0.0851063829787
ERR3684577	1	1	3	1	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR4993349	NF	28	7	3	0	-	45.265	0
ERR3684571	13*	6*	3*	1	TP0136_6/63holes;TP0548_3/1snp	-	39.9986666667	0
ERR3684573	NF	6	1	10	0	-	45.263	0
ERR4853605	NF	6	1	3	0	-	45.3166666667	0
ERR4853604	1	1	3	1	TP0136_1/trun	-	46.214	0.106382978723
ERR4853602	1	1	3	1	TP0136_1/trun	-	46.1623333333	0.106382978723
ERR4853601	NF	1	73	3	TP0136_1/trun	-	46.1016666667	0.106382978723
ERR3684673	13	6	3	1	0	-	41.0476666667	0.106382978723
ERR5210576	NF	6	1	10	0	-	45.263	0
ERR5210575	NF	6	1	3	0	-	43.4433333333	0.2
ERR5210572	1	1	3	1	TP0136_1/trun	-	46.1423333333	0.0869565217391
ERR5210570	100	1	70	1	TP0136_1/trun	-	46.1826666667	0.0851063829787
ERR4899209	NF	28	2	3	0	-	45.098	0
ERR4853599	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR4993351	NF*	9*	2	8	TP0136_9/1snp	-	43.462	0
ERR5210578	24	6	1	8	0	-	41.3266666667	0
ERR5207012	NF	6	1	3	0	-	45.2626666667	0
ERR5210582	1	1	3	1	TP0136_1/trun	-	46.162	0.106382978723
ERR5207009	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR4853629	NF	6	1	1	0	-	45.2646666667	0
ERR3684469	6	3	2	3	0	-	43.3706666667	0
ERR3684466	NF*	36	81	10*	TP0705_10/1snp	-	43.4176666667	0
ERR3684467	6	3	2	3	0	-	43.423	0
ERR3684460	2	1	1	1	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR3684461	6	3	2	3	0	-	46.187	0
ERR5207029	11	1	1	3	TP0136_1/trun	-	46.2143333333	0.106382978723
ERR5207008	11	1	1	3	TP0136_1/trun	-	46.1536666667	0.106382978723
ERR5207025	3*	1	1*	8	TP0136_1/trun;TP0548_1/55holes	-	41.351	0.106382978723
SRR3268722	NF	35	3	1	0	-	37.9826666667	0.5
ERR4899200	1	1	3	1	TP0136_1/trun	-	46.162	0.106382978723
ERR7123585	NF*	-	-	10*	TP0705_10/8snp	-	44.078	0
ERR4853679	NF*	6	1*	1	TP0548_1/1snp	-	45.2633333333	0
ERR5207027	11	1	1	3	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR3684600	2	1	1	1	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR7123580	NF*	-	-	10*	TP0705_10/8snp	-	44.082	0
ERR4853672	13	6	3	1	0	-	45.3163333333	0
ERR4853670	13	6	3	1	0	-	45.2626666667	0
ERR4853671	35*?	1	23*?	1	TP0136_1/trun;TP0548_23/20holes	TP0548_23/edge0.0	44.5626666667	0.106382978723
ERR4853674	13	6	3	1	0	-	45.2626666667	0
ERR7123588	NF*	-	-	10*	TP0705_10/8snp	-	44.078	0
ERR4853625	NF	1	73	10	TP0136_1/trun	-	46.142	0.0869565217391
ERR4045390	2	1	1	1	TP0136_1/trun	-	46.1423333333	0.0869565217391
ERR4899243	NF	6	37	1	0	-	45.263	0
ERR4045395	6	3	2	3	0	-	43.092	0
ERR4853684	1	1	3	1	TP0136_1/trun	-	46.182	0.0851063829787
ERR3684479	6	3	2	3	0	-	43.423	0
ERR3684478	NF	3	2	-	0	-	42.828	0
ERR4853568	20	10	14	10	0	-	46.1576666667	0
ERR4853569	22	11	14	10	0	-	44.542	0.0461538461538
ERR3684475	6	3	2	3	0	-	46.105	0
ERR3684474	6	3	2	3	0	-	43.4336666667	0
ERR3684477	6	3	2	3	0	-	43.4233333333	0
ERR4853565	2	1	1	1	TP0136_1/trun	-	46.1983333333	0.0909090909091
ERR4853562	1	1	3	1	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR3684473	NF	28	7	3	0	-	45.2646666667	0
ERR3684472	6	3	2	3	0	-	43.5036666667	0
ERR4853561	13	6	3	1	0	-	45.3166666667	0
ERR4899214	65*	20*	2*	10	TP0136_20/2snp;TP0548_2/1snp	-	46.1546666667	0.229508196721
ERR4993362	6	3	2	3	0	-	43.423	0
ERR4993361	109	9	16	3	0	-	43.5146666667	0
ERR4993360	NF*?	-	67*?	10	TP0548_67/15snp84holes	TP0548_67/edge0.0	36.6735	0
ERR5207026	NF	6	1	3	0	-	45.317	0
ERR4853611	1	1	3	1	TP0136_1/trun	-	46.1823333333	0.0851063829787
ERR7123584	21	1	13	10	TP0136_1/trun	-	46.142	0.0869565217391
ERR4899241	NF	6	73	3	0	-	45.3166666667	0
ERR4853668	28*	1*	17	9	TP0136_1/5holes	-	41.468	0.0952380952381
ERR4899231	2	1	1	1	TP0136_1/trun	-	46.199	0.0909090909091
ERR3684616	1	1	3	1	TP0136_1/trun	-	46.182	0.0851063829787
ERR4899245	NF	28	16	3	0	-	45.317	0
ERR3684610	13*	6*	3	1	TP0136_6/1snp	-	44.8963333333	0.106382978723
ERR3684613	1	1	3	1	TP0136_1/trun	-	46.2143333333	0.106382978723
ERR4853586	1	1	3	1	TP0136_1/trun	-	46.1826666667	0.0851063829787
ERR4853662	1	1	3	1	TP0136_1/trun	-	46.1826666667	0.0851063829787
ERR3684619	13	6	3	1	0	-	45.2103333333	0
ERR3684618	13	6	3	1	0	-	45.2626666667	0
ERR4853667	13	6	3	1	0	-	45.317	0
ERR4899198	2	1	1	1	TP0136_1/trun	-	46.182	0.0851063829787
ERR4853540	6	3	2	3	0	-	43.3746666667	0
ERR4853541	28	1	17	9	TP0136_1/trun	-	46.0896666667	0.0869565217391
ERR4045380	6	3	2	3	0	-	43.427	0
ERR4045383	NF*	28*	2	10	TP0136_28/1snp	-	45.3146666667	0
ERR4045387	14	1	8	1	TP0136_1/trun	-	46.1886666667	0.106382978723
ERR4853664	13	6	3	1	0	-	44.896	0
ERR4899216	13	6	3	1	0	-	45.2646666667	0
ERR3684569	1	1	3	1	TP0136_1/trun	-	46.102	0.106382978723
ERR3684568	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR4853579	1	1	3	1	TP0136_1/trun	-	46.13	0.0851063829787
ERR5207017	6	3	2	3	0	-	43.4083333333	0
ERR5210583	NF*?	15*?	81*	10	TP0136_15/47snp3indel47holes;TP0548_81/24snp21holes	TP0136_15/edge0.0	27.1713333333	0.307692307692
ERR4853544	1	1	3	1	TP0136_1/trun	-	46.1463333333	0.0909090909091
ERR4853577	NF	6	8	1	0	-	45.237	0
ERR3684560	2	1	1	1	TP0136_1/trun	-	46.2146666667	0.106382978723
ERR4853571	26	9	7	3	0	-	46.2003333333	0
ERR4853570	23	12	15	10	0	-	47.4346666667	0
ERR3684565	13	6	3	1	0	-	43.4216666667	0.166666666667
ERR3684564	1	1	3	1	TP0136_1/trun	-	46.1826666667	0.0851063829787
ERR5207031	100	1	70	1	TP0136_1/trun	-	46.142	0.0869565217391
ERR3684620	NF	-	3	1	0	-	45.1075	0
ERR3684622	1	1	3	1	0	-	40.8886666667	0.102564102564
ERR3684450	1	1	3	1	TP0136_1/trun	-	46.1463333333	0.0909090909091
ERR4853543	13	6	3	1	0	-	45.3166666667	0
ERR3684626	1	1	3	1	TP0136_1/trun	-	46.1423333333	0.0869565217391
ERR3684585	2	1	1	1	TP0136_1/trun	-	45.686	0.106382978723
ERR3684584	1	1	3	1	TP0136_1/trun	-	46.182	0.0851063829787
ERR3684741	NF*	39*	-	1	TP0136_39/85holes	-	38.173	0.0357142857143
ERR5207010	56	19	3	1	0	-	46.183	0.193548387097
ERR3684580	1	1	3	1	TP0136_1/trun	-	46.199	0.0909090909091
ERR3684583	13	6	3	1	0	-	45.2626666667	0
ERR3684582	1	1	3	1	TP0136_1/trun	-	46.154	0.106382978723
ERR5207019	19	1	1	10	TP0136_1/trun	-	46.154	0.106382978723
ERR4853651	1	1	3	1	TP0136_1/trun	-	46.1423333333	0.0869565217391
ERR4853652	2	1	1	1	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR4853653	1	1	3	1	TP0136_1/trun	-	43.1646666667	0
ERR3684510	2*	1	1*	1	TP0136_1/trun;TP0548_1/1snp	-	46.1986666667	0.0909090909091
ERR3684515	1	1	3	1	TP0136_1/trun	-	46.1986666667	0.0909090909091
ERR5207020	NF	28	7	3	0	-	45.264	0
ERR3684696	1	1	3	1	TP0136_1/trun	-	42.1036666667	0.106382978723
ERR3684457	6	3	2	3	0	-	43.4863333333	0
ERR3684456	75	1	55	1	TP0136_1/trun	-	46.2143333333	0.106382978723
ERR5207011	1	1	3	1	TP0136_1/trun	-	46.142	0.0869565217391
ERR3684454	6	3	2	3	0	-	43.4233333333	0
ERR3684453	6	3	2	3	0	-	43.423	0
ERR3684452	6	3	2	3	0	-	43.4233333333	0
ERR3684451	13*	6	3*	1	TP0548_3/1snp	-	45.264	0
ERR3684519	1	1	3	1	TP0136_1/trun	-	46.1416666667	0.0869565217391
ERR3684695	13	6	3	1	0	-	45.317	0
ERR3684517	2	1	1	1	TP0136_1/trun	-	46.1986666667	0.0909090909091
ERR3684458	6	3	2	3	0	-	43.3706666667	0
ERR3684512	1	1	3	1	TP0136_1/trun	-	46.182	0.0851063829787
ERR7123579	NF*	-	-	10*	TP0705_10/8snp	-	43.887	0
ERR3684459	6*	3*	2	3	TP0136_3/5holes	-	41.532	0
ERR3684511	1	1	3	1	TP0136_1/trun	-	46.182	0.0851063829787
